Player,Married?,Tournament Earnings($),Rank,Year
Ramkumar Ramanathan,No,145638,174,2019,
Mohamed Safwat,Yes,91141,175,2019,
Elias Ymer,No,126725,176,2019,
Denis Istomin,No,251726,177,2019,
Tallon Griekspoor,No,125553,178,2019,
Marcos Baghdatis,Yes,183077,179,2019,
Lukas Rosol,No,210237,180,2019,
Roberto Marcora,No,67665,181,2019,
Enrique Lopez Perez,No,89347,182,2019,
Lukas Lacko,No,136275,183,2019,
Peter Polansky,No,161001,184,2019,
Bernard Tomic,No,359104,185,2019,
Dmitry Popko,No,39190,186,2019,
Mats Moraing,No,118117,187,2019,
J.J. Wolf,No,52555,188,2019,
Joao Menezes,No,65427,189,2019,
Carlos Taberner,No,31012,190,2019,
Daniel Elahi Galan,No,145116,191,2019,
Enzo Couacaud,No,110267,192,2019,
Zhe Li,No,187820,193,2019,
Nicolas Mahut,No,1076046,194,2019,
Andrea Collarini,No,35864,195,2019,
Maxime Cressy,No,50660,196,2019,
Mario Vilella Martinez,No,64696,197,2019,
Botic Van de Zandschulp,No,36631,198,2019,
Thanasi Kokkinakis,No,197223,199,2019,
Bernabe Zapata Miralles,No,53303,200,2019,
Novak Djokovic,Yes,12609673,1,2018,
Rafael Nadal,Yes,8663348,2,2018,
Roger Federer,Yes,7599234,3,2018,
Alexander Zverev,No,7726914,4,2018,
Juan Martin del Potro,No,5882711,5,2018,
Kevin Anderson,Yes,4917350,6,2018,
Marin Cilic,Yes,4727148,7,2018,
Dominic Thiem,No,4519352,8,2018,
Kei Nishikori,No,3758923,9,2018,
John Isner,Yes,3746875,10,2018,
Karen Khachanov,Yes,2966360,11,2018,
Borna Coric,No,2695356,12,2018,
Fabio Fognini,Yes,1926977,13,2018,
Kyle Edmund,No,2099313,14,2018,
Stefanos Tsitsipas,No,2519615,15,2018,
Daniil Medvedev,Yes,1637191,16,2018,
Diego Schwartzman,No,1891302,17,2018,
Milos Raonic,No,1783442,18,2018,
Grigor Dimitrov,No,1781444,19,2018,
Marco Cecchinato,No,1439736,20,2018,
Nikoloz Basilashvili,Yes,2023705,21,2018,
David Goffin,No,1720860,22,2018,
Pablo Carreno Busta,No,1622247,23,2018,
Roberto Bautista Agut,Yes,1672949,24,2018,
Hyeon Chung,No,1461813,25,2018,
Richard Gasquet,No,1347771,26,2018,
Denis Shapovalov,No,1461155,27,2018,
Fernando Verdasco,Yes,1452316,28,2018,
Gael Monfils,No,1245866,29,2018,
Gilles Simon,No,1135499,30,2018,
Alex de Minaur,No,1229030,31,2018,
Lucas Pouille,Yes,1260216,32,2018,
Steve Johnson,Yes,941024,33,2018,
Philipp Kohlschreiber,Yes,1209087,34,2018,
Nick Kyrgios,No,1001667,35,2018,
Marton Fucsovics,No,1033278,36,2018,
Andreas Seppi,Yes,962714,37,2018,
John Millman,No,965348,38,2018,
Frances Tiafoe,No,1026059,39,2018,
Jeremy Chardy,Yes,943401,40,2018,
Martin Klizan,No,523628,41,2018,
Adrian Mannarino,No,1109750,42,2018,
Nicolas Jarry,No,799215,43,2018,
Joao Sousa,No,1033432,44,2018,
Malek Jaziri,Yes,887185,45,2018,
Matthew Ebden,Yes,871765,46,2018,
Damir Dzumhur,No,1102055,47,2018,
Dusan Lajovic,No,921384,48,2018,
Taylor Fritz,Yes,832248,49,2018,
Robin Haase,No,942335,50,2018,
Sam Querrey,Yes,1028867,51,2018,
Benoit Paire,No,971279,52,2018,
Mikhail Kukushkin,No,840474,53,2018,
Matteo Berrettini,No,709801,54,2018,
Pierre-Hugues Herbert,No,848674,55,2018,
Leonardo Mayer,Yes,938352,56,2018,
Jan-Lennard Struff,No,918302,57,2018,
Guido Pella,No,788735,58,2018,
Peter Gojowczyk,No,833419,59,2018,
Marius Copil,No,733335,60,2018,
Tennys Sandgren,No,808870,61,2018,
Ryan Harrison,Yes,701357,62,2018,
Denis Kudla,No,589703,63,2018,
Feliciano Lopez,No,824652,64,2018,
Albert Ramos-Vinolas,Yes,911372,65,2018,
Stan Wawrinka,No,817555,66,2018,
Aljaz Bedene,Yes,635628,67,2018,
Andrey Rublev,No,954551,68,2018,
Mischa Zverev,Yes,888179,69,2018,
Vasek Pospisil,No,512161,70,2018,
Tomas Berdych,Yes,711845,71,2018,
Jordan Thompson,No,330705,72,2018,
Roberto Carballes Baena,No,476286,73,2018,
Maximilian Marterer,No,789332,74,2018,
Yoshihito Nishioka,No,508047,75,2018,
Bradley Klahn,No,390324,76,2018,
Taro Daniel,No,481511,77,2018,
Mackenzie McDonald,No,537013,78,2018,
Guido Andreozzi,No,308681,79,2018,
Federico Delbonis,Yes,502527,80,2018,
Jaume Munar,No,538100,81,2018,
Pablo Andujar,Yes,284020,82,2018,
Bernard Tomic,No,420376,83,2018,
Cristian Garin,No,147909,84,2018,
Jozef Kovalik,No,277176,85,2018,
Hubert Hurkacz,No,467695,86,2018,
Mirza Basic,No,445003,87,2018,
Pablo Cuevas,No,592801,88,2018,
Jiri Vesely,Yes,527048,89,2018,
Cameron Norrie,No,512062,90,2018,
Ilya Ivashka,No,324360,91,2018,
Denis Istomin,No,477760,92,2018,
Laslo Djere,No,428920,93,2018,
Filip Krajinovic,No,687076,94,2018,
Ernests Gulbis,Yes,468886,95,2018,
Marcel Granollers,No,199666,96,2018,
Evgeny Donskoy,Yes,585986,97,2018,
Radu Albot,No,579728,98,2018,
Reilly Opelka,No,157769,99,2018,
Ivo Karlovic,Yes,453215,100,2018,
Thomas Fabbiano,No,469814,101,2018,
Ugo Humbert,No,211981,102,2018,
Michael Mmoh,No,283987,103,2018,
Pedro Sousa,No,101179,104,2018,
Guillermo Garcia-Lopez,No,523437,105,2018,
Jack Sock,No,738746,106,2018,
Lorenzo Sonego,No,323626,107,2018,
Felix Auger-Aliassime,No,289961,108,2018,
Paolo Lorenzi,Yes,442834,109,2018,
Prajnesh Gunneswaran,No,158567,110,2018,
Jared Donaldson,No,569434,111,2018,
Casper Ruud,No,336326,112,2018,
Jason Kubler,No,269959,113,2018,
Lukas Lacko,No,441739,114,2018,
Elias Ymer,No,265820,115,2018,
Ricardas Berankis,No,362048,116,2018,
Ruben Bemelmans,No,456818,117,2018,
Juan Ignacio Londero,No,105373,118,2018,
Peter Polansky,No,357552,119,2018,
Thiago Monteiro,No,190930,120,2018,
Jason Jung,No,159599,121,2018,
Hugo Dellien,Yes,96764,122,2018,
Marco Trungelliti,Yes,235355,123,2018,
Marcos Baghdatis,Yes,559009,124,2018,
David Ferrer,Yes,494454,125,2018,
Yannick Maden,No,233807,126,2018,
Lloyd Harris,No,160205,127,2018,
Quentin Halys,No,7991,128,2018,
Adrian Menendez-Maceiras,No,133296,129,2018,
Matthias Bachinger,No,217142,130,2018,
Miomir Kecmanovic,No,128231,131,2018,
Ramkumar Ramanathan,No,192924,132,2018,
Stefano Travaglia,No,236859,133,2018,
Sergiy Stakhovsky,Yes,306705,134,2018,
Noah Rubin,No,223833,135,2018,
Bjorn Fratangelo,No,190414,136,2018,
Yuki Bhambri,No,349309,137,2018,
Gilles Muller,Yes,556114,138,2018,
Carlos Berlocq,Yes,147687,139,2018,
Dennis Novak,No,320475,140,2018,
Simone Bolelli,Yes,90754,141,2018,
Lukas Rosol,No,77883,142,2018,
Jurgen Zopp,No,287069,143,2018,
Corentin Moutet,No,304629,144,2018,
Yuichi Sugita,No,579556,145,2018,
Thanasi Kokkinakis,No,244805,146,2018,
Alexei Popyrin,No,147267,147,2018,
Tatsuma Ito,No,91342,148,2018,
Antoine Hoang,No,86983,149,2018,
Mats Moraing,No,88683,150,2018,
Constant Lestienne,No,105053,151,2018,
Yannick Hanfmann,No,171245,152,2018,
Facundo Bagnis,No,145773,153,2018,
Alex Bolt,No,213241,154,2018,
Gianluigi Quinzi,No,54849,155,2018,
Pedro Martinez,No,100592,156,2018,
Egor Gerasimov,Yes,120578,157,2018,
Salvatore Caruso,No,133732,158,2018,
Rogerio Dutra Silva,Yes,224754,159,2018,
Alessandro Giannessi,No,123543,160,2018,
Dominik Koepfer,No,94394,161,2018,
Alexander Bublik,No,131290,162,2018,
Gregoire Barrere,No,182574,163,2018,
Tim Smyczek,Yes,292360,164,2018,
Filippo Baldi,No,58290,165,2018,
Marc Polmans,No,116766,166,2018,
Oscar Otte,No,133411,167,2018,
Luca Vanni,No,102895,168,2018,
Henri Laaksonen,No,164072,169,2018,
Christopher Eubanks,No,98590,170,2018,
Pedja Krstin,No,84963,171,2018,
Brayden Schnur,No,94304,172,2018,
Horacio Zeballos,Yes,296189,173,2018,
Nikola Milojevic,No,99286,174,2018,
Alexey Vatutin,No,113812,175,2018,
Andrea Arnaboldi,No,75179,176,2018,
Kamil Majchrzak,No,92502,177,2018,
Nicolas Kicker,No,274486,178,2018,
Sebastian Ofner,No,108224,179,2018,
Aleksandr Nedovyesov,No,5184,180,2018,
Roberto Quiroz,No,72762,181,2018,
Daniel Brands,No,72022,182,2018,
Andrej Martin,No,83770,183,2018,
Mohamed Safwat,Yes,134495,184,2018,
Yasutaka Uchiyama,No,68692,185,2018,
James Ward,No,80675,186,2018,
Ernesto Escobedo,No,167012,187,2018,
Blaz Rola,No,74503,188,2018,
Daniel Gimeno-Traver,Yes,82804,189,2018,
Nicolas Mahut,No,756601,190,2018,
Hiroki Moriya,No,80847,191,2018,
Daniel Evans,No,73703,192,2018,
John-Patrick Smith,No,145301,193,2018,
Yosuke Watanuki,No,71542,194,2018,
Stephane Robert,No,168163,195,2018,
Maxime Janvier,No,90619,196,2018,
Kenny De Schepper,No,97221,197,2018,
Darian King,No,116600,198,2018,
Stefano Napolitano,No,102490,199,2018,
Adam Pavlasek,No,148350,200,2018,
Rafael Nadal,Yes,12691341,1,2017,
Roger Federer,Yes,11754077,2,2017,
Grigor Dimitrov,No,5577361,3,2017,
Alexander Zverev,No,4206314,4,2017,
Dominic Thiem,No,3653909,5,2017,
Marin Cilic,Yes,3596923,6,2017,
David Goffin,No,3530572,7,2017,
Jack Sock,No,2824160,8,2017,
Stan Wawrinka,No,2802229,9,2017,
Pablo Carreno Busta,No,2553481,10,2017,
Juan Martin del Potro,No,2302102,11,2017,
Novak Djokovic,Yes,2083742,12,2017,
Sam Querrey,Yes,2232151,13,2017,
Kevin Anderson,Yes,2842305,14,2017,
Jo-Wilfried Tsonga,Yes,1843395,15,2017,
Andy Murray,Yes,2071625,16,2017,
John Isner,Yes,1707551,17,2017,
Lucas Pouille,Yes,1953511,18,2017,
Tomas Berdych,Yes,1766276,19,2017,
Roberto Bautista Agut,Yes,1731788,20,2017,
Nick Kyrgios,No,1771001,21,2017,
Kei Nishikori,No,1435597,22,2017,
Albert Ramos-Vinolas,Yes,1643204,23,2017,
Milos Raonic,No,1372323,24,2017,
Gilles Muller,Yes,1210901,25,2017,
Diego Schwartzman,No,1523165,26,2017,
Fabio Fognini,Yes,1304893,27,2017,
Adrian Mannarino,No,1274445,28,2017,
Philipp Kohlschreiber,Yes,1138512,29,2017,
Damir Dzumhur,No,1012699,30,2017,
Richard Gasquet,No,985805,31,2017,
Pablo Cuevas,No,1124349,32,2017,
Mischa Zverev,Yes,1276778,33,2017,
Filip Krajinovic,No,605368,34,2017,
Fernando Verdasco,Yes,1205065,35,2017,
Feliciano Lopez,No,1303087,36,2017,
David Ferrer,Yes,1046654,37,2017,
Alexandr Dolgopolov,No,934275,38,2017,
Andrey Rublev,No,1296172,39,2017,
Yuichi Sugita,No,727787,40,2017,
Benoit Paire,No,1022812,41,2017,
Robin Haase,No,1036239,42,2017,
Paolo Lorenzi,Yes,979470,43,2017,
Steve Johnson,Yes,933229,44,2017,
Karen Khachanov,Yes,1145272,45,2017,
Gael Monfils,No,1003855,46,2017,
Ryan Harrison,Yes,780131,47,2017,
Borna Coric,No,988892,48,2017,
Aljaz Bedene,Yes,609483,49,2017,
Kyle Edmund,No,952700,50,2017,
Denis Shapovalov,No,762650,51,2017,
Leonardo Mayer,Yes,654583,52,2017,
Jan-Lennard Struff,No,781652,53,2017,
Jared Donaldson,No,840073,54,2017,
Viktor Troicki,Yes,880717,55,2017,
Julien Benneteau,Yes,570468,56,2017,
Joao Sousa,No,704563,57,2017,
Hyeon Chung,No,1032776,58,2017,
Nikoloz Basilashvili,Yes,727702,59,2017,
Peter Gojowczyk,No,410386,60,2017,
Donald Young,No,713155,61,2017,
Jiri Vesely,Yes,695065,62,2017,
Denis Istomin,No,699209,63,2017,
Guido Pella,No,458656,64,2017,
Daniil Medvedev,Yes,727580,65,2017,
Horacio Zeballos,Yes,165726,66,2017,
Dudi Sela,Yes,474395,67,2017,
Federico Delbonis,Yes,356401,68,2017,
Florian Mayer,No,649802,69,2017,
Guillermo Garcia-Lopez,No,403630,70,2017,
Yen-Hsun Lu,Yes,427569,71,2017,
Evgeny Donskoy,Yes,435658,72,2017,
Thomas Fabbiano,No,381466,73,2017,
Mikhail Kukushkin,No,524937,74,2017,
Dusan Lajovic,No,548668,75,2017,
Matthew Ebden,Yes,193409,76,2017,
Steve Darcis,No,504822,77,2017,
Jeremy Chardy,Yes,553200,78,2017,
Frances Tiafoe,No,499276,79,2017,
Ivo Karlovic,Yes,653585,80,2017,
Pierre-Hugues Herbert,No,548409,81,2017,
Cedrik-Marcel Stebe,No,201743,82,2017,
Victor Estrella Burgos,No,354189,83,2017,
Mikhail Youzhny,Yes,461711,84,2017,
Marton Fucsovics,No,283481,85,2017,
Andreas Seppi,Yes,562562,86,2017,
Radu Albot,No,462562,87,2017,
Laslo Djere,No,139601,88,2017,
Gilles Simon,No,666046,89,2017,
Maximilian Marterer,No,206959,90,2017,
Stefanos Tsitsipas,No,302879,91,2017,
Lukas Lacko,No,321489,92,2017,
Marius Copil,No,364250,93,2017,
Jordan Thompson,No,422805,94,2017,
Nicolas Kicker,No,362741,95,2017,
Tennys Sandgren,No,227351,96,2017,
Blaz Kavcic,No,160303,97,2017,
Malek Jaziri,Yes,582954,98,2017,
Taro Daniel,No,336924,99,2017,
Gerald Melzer,No,202227,100,2017,
Rogerio Dutra Silva,Yes,438546,101,2017,
Marcos Baghdatis,Yes,486542,102,2017,
Nicolas Mahut,No,747550,103,2017,
Taylor Fritz,Yes,380212,104,2017,
Janko Tipsarevic,Yes,301145,105,2017,
Roberto Carballes Baena,No,123384,106,2017,
Andrey Kuznetsov,No,449286,107,2017,
Vasek Pospisil,No,324679,108,2017,
Marco Cecchinato,No,180091,109,2017,
Bjorn Fratangelo,No,312231,110,2017,
Nicolas Jarry,No,159234,111,2017,
Carlos Berlocq,Yes,412192,112,2017,
Thomaz Bellucci,Yes,439418,113,2017,
Cameron Norrie,No,225310,114,2017,
Gastao Elias,No,228725,115,2017,
Yuki Bhambri,No,140914,116,2017,
Alexander Bublik,No,217759,117,2017,
Ruben Bemelmans,No,288994,118,2017,
Yannick Hanfmann,No,145784,119,2017,
Ernesto Escobedo,No,369635,120,2017,
Henri Laaksonen,No,280162,121,2017,
Sergiy Stakhovsky,Yes,288576,122,2017,
Jerzy Janowicz,No,283902,123,2017,
Thiago Monteiro,No,452632,124,2017,
Dustin Brown,No,449738,125,2017,
Pedro Sousa,No,109827,126,2017,
Adrian Menendez-Maceiras,No,184299,127,2017,
John Millman,No,296822,128,2017,
Quentin Halys,No,19694,129,2017,
Tim Smyczek,Yes,201304,130,2017,
Oscar Otte,No,85626,131,2017,
Norbert Gombos,No,254725,132,2017,
Daniel Evans,No,405917,133,2017,
Stefano Travaglia,No,184576,134,2017,
Matteo Berrettini,No,84667,135,2017,
Ricardas Berankis,No,287301,136,2017,
Peter Polansky,No,208137,137,2017,
Mirza Basic,No,121673,138,2017,
Casper Ruud,No,222114,139,2017,
Bernard Tomic,No,474867,140,2017,
Martin Klizan,No,347977,141,2017,
Elias Ymer,No,123143,142,2017,
Sebastian Ofner,No,201538,143,2017,
Renzo Olivo,No,327412,144,2017,
Uladzimir Ignatik,No,96983,145,2017,
Akira Santillan,No,133498,146,2017,
Yannick Maden,No,73939,147,2017,
Ramkumar Ramanathan,No,111046,148,2017,
Egor Gerasimov,Yes,71297,149,2017,
Go Soeda,No,150392,150,2017,
Nicolas Almagro,Yes,355797,151,2017,
Tommy Paul,No,174593,152,2017,
Tatsuma Ito,No,124423,153,2017,
Alessandro Giannessi,No,189498,154,2017,
Corentin Moutet,No,57739,155,2017,
Gleb Sakharov,No,90148,156,2017,
Calvin Hemery,No,71883,157,2017,
Nikola Milojevic,No,80362,158,2017,
Kenny De Schepper,No,116281,159,2017,
Andrej Martin,No,71696,160,2017,
Mathias Bourgue,No,114708,161,2017,
Felix Auger-Aliassime,No,64377,162,2017,
Jurgen Zopp,No,47285,163,2017,
Tommy Robredo,No,232306,164,2017,
Jozef Kovalik,No,132279,165,2017,
Yoshihito Nishioka,No,214339,166,2017,
Stefan Kozlov,No,173581,167,2017,
Soonwoo Kwon,No,61911,168,2017,
Joao Domingues,No,55789,169,2017,
Liam Broady,No,78968,170,2017,
Simone Bolelli,Yes,48009,171,2017,
Alexey Vatutin,No,66888,172,2017,
Darian King,No,172398,173,2017,
Denis Kudla,No,130620,174,2017,
Michael Mmoh,No,147331,175,2017,
Mackenzie McDonald,No,92187,176,2017,
Marcel Granollers,No,339238,177,2017,
Arthur De Greef,No,121328,178,2017,
Aldin Setkic,No,80938,179,2017,
Matthias Bachinger,No,45837,180,2017,
Facundo Bagnis,No,224746,181,2017,
Viktor Galovic,No,47712,182,2017,
Filip Peliwo,No,46508,183,2017,
Jaume Munar,No,43724,184,2017,
Carlos Taberner,No,36785,185,2017,
Jurgen Melzer,Yes,19284,186,2017,
Benjamin Bonzi,No,122531,187,2017,
Vincent Millot,Yes,175306,188,2017,
Alex Bolt,No,81031,189,2017,
Marcelo Arevalo,Yes,22936,190,2017,
Mitchell Krueger,No,130819,191,2017,
Ze Zhang,Yes,91205,192,2017,
Guido Andreozzi,No,100007,193,2017,
Goncalo Oliveira,No,58115,194,2017,
Duckhee Lee,No,96967,195,2017,
Illya Marchenko,No,171382,196,2017,
Kamil Majchrzak,No,43971,197,2017,
Ricardo Ojeda Lara,No,47370,198,2017,
Ernests Gulbis,Yes,317146,199,2017,
Attila Balazs,No,55521,200,2017,
Andy Murray,Yes,13327822,1,2016,
Novak Djokovic,Yes,12630465,2,2016,
Milos Raonic,No,4632684,3,2016,
Stan Wawrinka,No,6099060,4,2016,
Kei Nishikori,No,4324963,5,2016,
Marin Cilic,Yes,3017428,6,2016,
Gael Monfils,No,2957420,7,2016,
Dominic Thiem,No,2775117,8,2016,
Rafael Nadal,Yes,2714278,9,2016,
Tomas Berdych,Yes,2318756,10,2016,
David Goffin,No,2072109,11,2016,
Jo-Wilfried Tsonga,Yes,2027645,12,2016,
Nick Kyrgios,No,1757289,13,2016,
Roberto Bautista Agut,Yes,1905873,14,2016,
Lucas Pouille,Yes,1673931,15,2016,
Roger Federer,Yes,1527269,16,2016,
Grigor Dimitrov,No,1617502,17,2016,
Richard Gasquet,No,1302038,18,2016,
John Isner,Yes,1392560,19,2016,
Ivo Karlovic,Yes,1267348,20,2016,
David Ferrer,Yes,1356930,21,2016,
Pablo Cuevas,No,1270475,22,2016,
Jack Sock,No,1220799,23,2016,
Alexander Zverev,No,1324084,24,2016,
Gilles Simon,No,1209502,25,2016,
Bernard Tomic,No,1085126,26,2016,
Albert Ramos-Vinolas,Yes,1180393,27,2016,
Feliciano Lopez,No,1068603,28,2016,
Viktor Troicki,Yes,1092007,29,2016,
Pablo Carreno Busta,No,990822,30,2016,
Sam Querrey,Yes,1008632,31,2016,
Philipp Kohlschreiber,Yes,915346,32,2016,
Steve Johnson,Yes,1015211,33,2016,
Gilles Muller,Yes,752157,34,2016,
Martin Klizan,No,1051513,35,2016,
Marcos Baghdatis,Yes,948524,36,2016,
Marcel Granollers,No,867768,37,2016,
Juan Martin del Potro,No,902366,38,2016,
Nicolas Mahut,No,1121953,39,2016,
Paolo Lorenzi,Yes,704215,40,2016,
Federico Delbonis,Yes,681684,41,2016,
Fernando Verdasco,Yes,771606,42,2016,
Joao Sousa,No,977039,43,2016,
Nicolas Almagro,Yes,758290,44,2016,
Kyle Edmund,No,729009,45,2016,
Andrey Kuznetsov,No,868237,46,2016,
Benoit Paire,No,844929,47,2016,
Borna Coric,No,672059,48,2016,
Fabio Fognini,Yes,714580,49,2016,
Florian Mayer,No,695103,50,2016,
Mischa Zverev,Yes,494173,51,2016,
Diego Schwartzman,No,441494,52,2016,
Karen Khachanov,Yes,444991,53,2016,
