Player,Married?,Tournament Earnings($),Rank,Year
Rafael Nadal,Yes,12859587,1,2019,
Novak Djokovic,Yes,11517228,2,2019,
Roger Federer,Yes,7634976,3,2019,
Dominic Thiem,No,7091603,4,2019,
Daniil Medvedev,Yes,7117310,5,2019,
Stefanos Tsitsipas,No,6712206,6,2019,
Alexander Zverev,No,3660724,7,2019,
Matteo Berrettini,No,3022462,8,2019,
Roberto Bautista Agut,Yes,2569523,9,2019,
Gael Monfils,No,2569922,10,2019,
David Goffin,No,2421718,11,2019,
Fabio Fognini,Yes,2535049,12,2019,
Kei Nishikori,No,2144457,13,2019,
Diego Schwartzman,No,2154555,14,2019,
Denis Shapovalov,No,2010869,15,2019,
Stan Wawrinka,No,2089649,16,2019,
Karen Khachanov,Yes,2097842,17,2019,
Alex de Minaur,No,1895709,18,2019,
John Isner,Yes,1709328,19,2019,
Grigor Dimitrov,No,2066004,20,2019,
Felix Auger-Aliassime,No,1457003,21,2019,
Lucas Pouille,Yes,1573714,22,2019,
Andrey Rublev,No,1408760,23,2019,
Benoit Paire,No,1413173,24,2019,
Guido Pella,No,1449999,25,2019,
Nikoloz Basilashvili,Yes,1571102,26,2019,
Pablo Carreno Busta,No,1275369,27,2019,
Borna Coric,No,1462133,28,2019,
Jo-Wilfried Tsonga,Yes,1054107,29,2019,
Nick Kyrgios,No,1312871,30,2019,
Milos Raonic,No,1248208,31,2019,
Taylor Fritz,Yes,1157138,32,2019,
Cristian Garin,No,1096467,33,2019,
Dusan Lajovic,No,1433267,34,2019,
Jan-Lennard Struff,No,1416551,35,2019,
Reilly Opelka,No,1042624,36,2019,
Hubert Hurkacz,No,1169651,37,2019,
Laslo Djere,No,1173336,38,2019,
Marin Cilic,Yes,1344293,39,2019,
Filip Krajinovic,No,891166,40,2019,
Albert Ramos-Vinolas,Yes,895041,41,2019,
Daniel Evans,No,820079,42,2019,
Adrian Mannarino,No,1028731,43,2019,
Sam Querrey,Yes,949123,44,2019,
Pablo Cuevas,No,863324,45,2019,
Radu Albot,No,995422,46,2019,
Frances Tiafoe,No,1366631,47,2019,
John Millman,No,958072,48,2019,
Fernando Verdasco,Yes,1200419,49,2019,
Juan Ignacio Londero,No,883098,50,2019,
Jeremy Chardy,Yes,963922,51,2019,
Lorenzo Sonego,No,779098,52,2019,
Cameron Norrie,No,868846,53,2019,
Casper Ruud,No,800658,54,2019,
Gilles Simon,No,1151768,55,2019,
Alexander Bublik,No,676470,56,2019,
Ugo Humbert,No,777066,57,2019,
Aljaz Bedene,Yes,709003,58,2019,
Miomir Kecmanovic,No,1046628,59,2019,
Joao Sousa,No,951345,60,2019,
Richard Gasquet,No,872096,61,2019,
Feliciano Lopez,No,1035529,62,2019,
Jordan Thompson,No,829520,63,2019,
Pablo Andujar,Yes,696325,64,2019,
Pierre-Hugues Herbert,No,868371,65,2019,
Ricardas Berankis,No,541314,66,2019,
Mikhail Kukushkin,No,965179,67,2019,
Tennys Sandgren,No,735550,68,2019,
Kyle Edmund,No,923876,69,2019,
Marton Fucsovics,No,874370,70,2019,
Marco Cecchinato,No,834258,71,2019,
Andreas Seppi,Yes,731463,72,2019,
Yoshihito Nishioka,No,789918,73,2019,
Mikael Ymer,No,368648,74,2019,
Hugo Dellien,Yes,507211,75,2019,
Federico Delbonis,Yes,576085,76,2019,
Nicolas Jarry,No,654171,77,2019,
Jannik Sinner,No,636953,78,2019,
Philipp Kohlschreiber,Yes,745895,79,2019,
Roberto Carballes Baena,No,585167,80,2019,
Yasutaka Uchiyama,No,249443,81,2019,
Gregoire Barrere,No,417236,82,2019,
Corentin Moutet,No,445526,83,2019,
Stefano Travaglia,No,268707,84,2019,
Steve Johnson,Yes,622681,85,2019,
Jaume Munar,No,581185,86,2019,
Alejandro Davidovich Fokina,No,289828,87,2019,
Soonwoo Kwon,No,286066,88,2019,
Thiago Monteiro,No,333700,89,2019,
Tommy Paul,No,250831,90,2019,
Kevin Anderson,Yes,521647,91,2019,
Leonardo Mayer,Yes,728028,92,2019,
Damir Dzumhur,No,616821,93,2019,
Dominik Koepfer,No,494439,94,2019,
Ivo Karlovic,Yes,590970,95,2019,
Salvatore Caruso,No,359581,96,2019,
Alexei Popyrin,No,676289,97,2019,
Egor Gerasimov,Yes,344164,98,2019,
Lloyd Harris,No,454174,99,2019,
James Duckworth,No,176920,100,2019,
Kamil Majchrzak,No,380872,101,2019,
Marcos Giron,No,263183,102,2019,
Yuichi Sugita,No,206980,103,2019,
Henri Laaksonen,No,396544,104,2019,
Jiri Vesely,Yes,414184,105,2019,
Brayden Schnur,No,302793,106,2019,
Andrej Martin,No,90209,107,2019,
Dennis Novak,No,202965,108,2019,
Norbert Gombos,No,134718,109,2019,
Taro Daniel,No,392916,110,2019,
Marcel Granollers,No,371082,111,2019,
Evgeny Donskoy,Yes,283914,112,2019,
Denis Kudla,No,625528,113,2019,
Thomas Fabbiano,No,611515,114,2019,
Paolo Lorenzi,Yes,374219,115,2019,
Antoine Hoang,No,384509,116,2019,
Peter Gojowczyk,No,520956,117,2019,
Gianluca Mager,No,113001,118,2019,
Christopher O'Connell,No,72921,119,2019,
Federico Coria,No,79349,120,2019,
Go Soeda,No,164020,121,2019,
Juan Martin del Potro,No,511797,122,2019,
Emil Ruusuvuori,No,50459,123,2019,
Prajnesh Gunneswaran,No,375183,124,2019,
Andy Murray,Yes,369320,125,2019,
Yannick Maden,No,211064,126,2019,
Jason Jung,No,173730,127,2019,
Hyeon Chung,No,391115,128,2019,
Mackenzie McDonald,No,343894,129,2019,
Sumit Nagal,No,113009,130,2019,
Ilya Ivashka,No,305479,131,2019,
Guido Andreozzi,No,361608,132,2019,
Attila Balazs,No,144530,133,2019,
Marc Polmans,No,162457,134,2019,
Bradley Klahn,No,436099,135,2019,
Steven Diez,No,120759,136,2019,
Facundo Bagnis,No,125177,137,2019,
Zhizhen Zhang,No,148448,138,2019,
Jozef Kovalik,No,271991,139,2019,
Pedro Sousa,No,149893,140,2019,
Martin Klizan,No,560856,141,2019,
Dudi Sela,Yes,71667,142,2019,
Juan Pablo Varillas,No,56882,143,2019,
Guillermo Garcia-Lopez,No,286544,144,2019,
Blaz Rola,No,136437,145,2019,
Emilio Gomez,No,97605,146,2019,
Tatsuma Ito,No,167485,147,2019,
Alessandro Giannessi,No,102286,148,2019,
Vasek Pospisil,No,308955,149,2019,
Sergiy Stakhovsky,Yes,220403,150,2019,
Lorenzo Giustino,No,83071,151,2019,
Federico Gaio,No,97926,152,2019,
Marius Copil,No,500070,153,2019,
Jay Clarke,No,196090,154,2019,
Nikola Milojevic,No,100879,155,2019,
Sebastian Ofner,No,124305,156,2019,
Steve Darcis,No,318968,157,2019,
Viktor Troicki,Yes,176165,158,2019,
Alex Bolt,No,227512,159,2019,
Kimmer Coppejans,No,169800,160,2019,
Andrew Harris,No,87123,161,2019,
Robin Haase,No,520974,162,2019,
Oscar Otte,No,206241,163,2019,
Rudolf Molleker,No,210310,164,2019,
Cedrik-Marcel Stebe,No,321244,165,2019,
Darian King,No,130264,166,2019,
Mitchell Krueger,No,152583,167,2019,
Mikael Torpegaard,No,89876,168,2019,
Danilo Petrovic,No,38613,169,2019,
Pedro Martinez,No,174730,170,2019,
Filip Horansky,No,84906,171,2019,
Yannick Hanfmann,No,135742,172,2019,
Joao Domingues,No,117967,173,2019,
