Player,Turned Pro,Weight,Height
Marcelo Arevalo,2012,190,6'3,
Cheng-Peng Hsieh,2010,201,5'1,
Jonathan Erlich,1996,171,5'9,
Romain Arneodo,?,161,5'9,
Andrey Rublev,2014,154,6'2,
Ariel Behar,2006,176,5'1,
Andrei Vasilevski,2009,179,6'1,
Dominic Thiem,2011,174,6'1,
Sam Querrey,2006,209,6'6,
Simone Bolelli,2003,182,6'0,
Denys Molchanov,?,183,6'3,
Guillermo Duran,2009,181,5'1,
Gonzalo Escobar,?,175,5'1,
Luke Saville,?,183,6'2,
Stefanos Tsitsipas,2016,196,6'4,
Karen Khachanov,2013,192,6'6,
Andy Murray,2005,181,6'3,
Max Purcell,?,165,6'1,
Purav Raja,2005,198,6'0,
Nikola Cacic,2007,165,6'0,
Matt Reid,2009,192,6'0,
John-Patrick Smith,2012,185,6'2,
Ryan Harrison,2007,185,6'1,
Nathaniel Lammons,2016,185,5'1,
David Pel,?,209,6'6,
Christopher Rungkat,2007,150,5'9,
Goncalo Oliveira,2012,174,6'1,
Miguel Angel Reyes-Varela,2010,152,5'9,
Alexander Zverev,2013,198,6'6,
Nicholas Monroe,2004,168,5'1,
Radu Albot,2008,152,5'9,
Benoit Paire,2007,176,6'5,
Tristan-Samuel Weissborn,2009,171,5'1,
Fernando Romboli,2006,179,5'1,
Leander Paes,1991,171,5'1,
Tomislav Brkic,2008,176,6'1,
Andre Goransson,?,190,6'2,
Ante Pavic,?,211,6'5,
Andre Begemann,2008,198,6'2,
Dusan Lajovic,2007,183,6'0,
Jeevan Nedunchezhiyan,2015,152,5'8,
Mischa Zverev,2005,195,6'3,
Mao-Xin Gong,2006,161,5'1,
Pablo Carreno Busta,2009,172,6'2,
David Vega Hernandez,?,172,6'2,
Ze Zhang,2008,187,6'2,
Evan King,2013,175,6'1,
Ji Sung Nam,?,176,6'0,
Jack Sock,2011,195,6'3,
Taylor Fritz,2015,190,6'4,
Matthew Ebden,2006,176,6'2,
Hunter Reese,?,165,5'1,
Jamie Cerretani,2005,177,6'1,
Pablo Cuevas,2004,173,5'1,
Federico Delbonis,2007,198,6'4,
Gerard Granollers,?,157,6'0,
Robert Galloway,2015,180,6'2,
Antonio Sancic,2008,180,5'1,
Min-Kyu Song,?,170,6'0,
Andrea Vavassori,?,172,6'4,
Hans Hach Verdugo,?,180,6'0,
Sem Verbeek,?,184,6'4,
Hans Podlipnik-Castillo,2005,172,6'0,
Ramkumar Ramanathan,2009,176,6'2,
Luis David Martinez,?,169,5'1,
Roberto Maytin,?,192,?,
N.Sriram Balaji,?,162,6'0,
Adil Shamasdin,2008,160,5'1,
Novak Djokovic,2003,170,6'2,
Mikhail Kukushkin,2006,159,6'0,
Alex de Minaur,2015,152,6'0,
Orlando Luz,?,172,5'1,
Guido Andreozzi,2010,172,6'0,
Harri Heliovaara,?,181,6'2,
Luca Margaroli,?,178,6'0,
Nathan Pasha,?,188,6'3,
Kyle Edmund,2012,183,6'2,
Fabio Fognini,2004,174,5'1,
Daniel Evans,2006,165,5'9,
Roberto Carballes Baena,2011,170,6'0,
Florin Mergea,2003,171,5'1,
Alex Lawson,?,185,6'3,
Thomaz Bellucci,2005,181,6'2,
Quentin Halys,2012,172,6'3,
Fabricio Neis,?,182,6'0,
Zhe Li,2004,169,6'1,
Tsung-Hua Yang,2006,176,5'1,
Benjamin Bonzi,2015,168,6'1,
Cameron Norrie,2017,181,6'2,
Jordan Thompson,2013,181,6'0,
JC Aragone,2017,175,5'1,
Rogerio Dutra Silva,2003,161,5'1,
Szymon Walkow,?,157,5'1,
David Goffin,2009,154,5'1,
Dennis Novikov,2013,200,6'4,
Sergiy Stakhovsky,2003,176,6'4,
Treat Huey,2008,180,5'1,
Andrey Golubev,2005,174,6'0,
Fabien Reboul,?,176,6'1,
Jaume Munar,2014,168,6'0,
Malek Jaziri,2003,179,6'1,
Ivan Sabanov,?,165,5'1,
Matej Sabanov,?,163,5'1,
Andreas Siljestrom,?,212,6'9,
Daniel Masur,2013,172,6'0,
Sadio Doumbia,?,173,6'0,
Toshihide Matsui,2001,168,5'1,
Felipe Meligeni Rodrigues Alves,?,173,6'1,
Reilly Opelka,2015,225,6'1,
Scott Puodziunas,?,209,6'6,
Peter Polansky,2007,176,6'0,
John Isner,2007,238,6'1,
Tristan Lamasine,2010,152,6'0,
Darian King,2010,170,6'2,
Teymuraz Gabashvili,2001,182,6'2,
Maxime Cressy,2019,194,6'7,
Janko Tipsarevic,2002,176,5'1,
Daniil Medvedev,2014,182,6'6,
Miomir Kecmanovic,2017,165,6'0,
Nikoloz Basilashvili,2008,174,6'1,
Marc Lopez,1999,161,5'9,
Fernando Verdasco,2001,198,6'2,
Ruben Bemelmans,2006,165,6'0,
Pedro Martinez,2016,168,6'1,
Martin Redlicki,?,200,6'5,
Scott Clayton,?,165,6'0,
Saketh Myneni,2012,187,6'4,
Marc Polmans,2015,172,6'2,
Aleksandr Nedovyesov,2005,179,6'4,
Zdenek Kolar,2014,168,6'1,
Alexander Peya,1998,183,6'0,
Julio Peralta,?,174,6'2,
David Marrero,2001,196,6'0,
Marcin Matkowski,2003,198,6'1,
Philipp Petzschner,2001,170,6'1,
Steve Johnson,2012,190,6'2,
Daniele Bracciali,1995,180,5'1,
Jonathan Eysseric,2008,176,5'1,
Rameez Junaid,?,?,?,
Vishnu Vardhan,2008,185,6'2,
Matteo Berrettini,2015,209,6'5,
Sanchai Ratiwatana,2004,154,5'9,
Guillermo Garcia-Lopez,2002,176,6'1,
Nick Kyrgios,2013,187,6'4,
Hsien-Yin Peng,?,181,5'1,
Lleyton Hewitt,1998,170,5'1,
Ruben Gonzales,?,?,?,
Aliaksandr Bury,?,206,6'8,
Damir Dzumhur,2011,150,5'9,
Enrique Lopez Perez,2009,168,5'1,
Tennys Sandgren,2011,195,6'2,
Sonchat Ratiwatana,2004,156,5'9,
Timur Khabibulin,?,183,6'1,
Roberto Quiroz,2014,193,6'4,
Scott Lipsky,2003,190,6'1,
Alessandro Motti,?,165,6'1,
Ruan Roelofse,2010,205,6'2,
Mikhail Elgin,1998,172,6'0,
Andrej Martin,2007,183,6'0,
Bradley Mousley,2015,181,6'2,
Dustin Brown,2002,172,6'5,
Sergio Galdos,2008,196,5'1,
Sam Groth,2006,220,6'4,
Philipp Kohlschreiber,2001,154,5'1,
Jiri Vesely,2009,207,6'6,
Yasutaka Uchiyama,2011,172,6'0,
Denis Kudla,2010,175,5'1,
Julian Ocleppo,?,193,6'2,
Frances Tiafoe,2015,190,6'2,
Martin Cuevas,2010,198,6'3,
Vladyslav Manafov,?,?,?,
Henri Laaksonen,2009,172,6'1,
Gilles Simon,2002,154,6'0,
Donald Young,2004,175,6'0,
Federico Gaio,2009,185,5'1,
Stephane Robert,2001,170,6'1,
Tomislav Draganja,?,192,6'3,
Mark Vervoort,?,?,?,
Thanasi Kokkinakis,2013,185,6'4,
Andrea Pellegrino,2016,179,6'1,
Alexander Pavlioutchenkov,?,231,6'5,
Nenad Zimonjic,1995,200,6'3,
Max Mirnyi,1994,205,5'5,
Brian Baker,2003,170,6'3,
Julien Benneteau,2000,174,6'1,
Daniel Nestor,1991,190,6'3,
Julian Knowle,1992,165,6'2,
Andrew Whittington,?,181,6'2,
Paolo Lorenzi,2003,172,6'0,
Alex Bolt,2011,185,6'0,
Andre Sa,1996,174,6'1,
Gilles Muller,2001,196,6'4,
Viktor Troicki,2006,189,6'4,
Marin Draganja,?,172,6'1,
Dino Marcan,2008,171,5'1,
Brydan Klein,2007,183,6'2,
Fabiano De Paula,?,172,5'1,
David O'Hare,?,190,6'4,
Steven De Waard,?,178,5'1,
Gero Kretschmer,2004,170,6'3,
Chu-Huan Yi,2005,154,5'1,
Tomasz Bednarek,2000,180,5'1,
Albert Ramos-Vinolas,2007,168,6'2,
Max Schnur,2015,210,6'5,
Johan Brunstrom,2005,196,6'4,
Andrey Kuznetsov,2008,156,6'1,
Alexander Satschko,2002,176,5'1,
Adrian Menendez-Maceiras,2005,165,6'0,
Lucas Pouille,2012,185,6'1,
Facundo Bagnis,2008,180,6'0,
Jarryd Chaplin,?,185,6'0,
Chris Guccione,2003,202,6'7,
Dudi Sela,2002,144,5'9,
Franco Agamenone,?,180,6'2,
Vasek Pospisil,2007,194,6'4,
Mikelis Libietis,?,192,6'4,
Marin Cilic,2005,196,6'6,
Grzegorz Panfil,2004,168,6'0,
Tuna Altuna,?,176,6'0,
Ti Chen,2002,162,5'1,
Di Wu,2009,143,5'8,
Mateusz Kowalczyk,2005,187,6'3,
Tommy Robredo,1998,165,5'1,
Gabor Borsos,?,189,6'4,
Radek Stepanek,1996,167,6'1,
Mariusz Fyrstenberg,2001,176,6'3,
Eric Butorac,2003,180,6'3,
Colin Fleming,?,176,6'2,
Adrian Mannarino,2004,174,5'1,
Jonathan Marray,2000,168,6'0,
Andreas Seppi,2002,172,6'3,
Albano Olivetti,2010,229,6'8,
Riccardo Ghedin,?,169,6'1,
Inigo Cervantes,2009,172,6'0,
Lukas Rosol,2004,182,6'4,
Alexander Kudryavtsev,?,174,6'0,
Rafael Nadal,2001,187,6'1,
Denis Istomin,2004,187,6'2,
Bernard Tomic,2008,201,6'5,
Konstantin Kravchuk,2004,176,6'3,
Facundo Arguello,?,170,5'1,
Philip Bester,2006,175,6'2,
Caio Zampieri,2005,174,6'0,
Jo-Wilfried Tsonga,2004,205,6'2,
David Perez Sanz,?,?,?,
Sekou Bangoura,2011,170,6'0,
Nicolas Barrientos,2009,165,5'9,
Dean O'Brien,?,165,5'1,
Isak Arvidsson,?,174,6'2,
Mahesh Bhupathi,1995,195,6'1,
Sergey Betov,?,163,6'1,
Marco Chiudinelli,2000,187,6'1,
Maximilian Neuchrist,?,?,?,
Andrea Arnaboldi,2006,158,5'1,
Victor Estrella Burgos,2002,170,5'7,
Guilherme Clezar,2009,169,5'1,
Fred Simonsson,?,165,6'2,
Flavio Cipolla,2003,163,5'8,
Carlos Berlocq,2001,178,6'0,
Frantisek Cermak,1998,176,6'4,
Pablo Andujar,2003,176,5'1,
Kevin Anderson,2007,208,6'8,
Martin Klizan,2007,187,6'3,
Ilija Bozoljac,2002,189,6'4,
Joao Souza,2006,203,6'4,
Yen-Hsun Lu,2001,163,5'1,
Frank Moser,2001,203,6'5,
Hsin-Han Lee,?,?,?,
Carsten Ball,2005,200,6'6,
Cesar Ramirez,?,?,?,
Yan Bai,?,176,6'1,
Nicolas Almagro,2003,190,6'0,
Ricardas Berankis,2007,170,5'9,
Adrian Ungur,2003,161,5'1,
Chase Buchanan,?,175,6'4,
Matt Seeberger,?,177,6'2,
Martin Emmrich,2001,179,6'0,
Santiago Giraldo,2004,166,6'2,
Yaraslav Shyla,2011,198,6'4,
Darren Walsh,?,209,6'7,
Stan Wawrinka,2002,179,6'0,
Benjamin Becker,2005,158,5'1,
Adam Majchrowicz,?,176,6'2,
Eduardo Struvay,?,?,?,
Renzo Olivo,2009,160,5'1,
Costin Paval,?,196,6'3,
Maxime Teixeira,2010,165,6'2,
Jan Satral,2010,181,6'2,
Tomas Berdych,2002,200,6'5,
Michael Llodra,1999,176,6'3,
Mikhail Youzhny,1999,160,6'0,
Lukas Dlouhy,2001,194,6'1,
Jesse Huta Galung,2004,196,?,
Jarkko Nieminen,2000,172,6'1,
Potito Starace,2001,185,6'2,
Philipp Marx,?,165,6'2,
Roger Federer,1998,187,6'1,
Michal Mertinak,1999,203,6'1,
Dominik Meffert,2005,203,6'6,
Kevin King,2013,190,6'3,
Jaroslav Pospisil,?,159,5'1,
Christopher Kas,2001,187,6'2,
Juan-Carlos Spir,?,?,?,
Marc Gicquel,1999,165,6'2,
Ross Hutchins,2002,188,6'3,
Michal Przysiezny,2001,185,6'1,
Bradley Klahn,2012,165,6'0,
Juan Monaco,2002,179,6'1,
Pere Riba,2004,173,6'0,
Victor Baluda,?,?,?,
James Cluskey,?,?,?,
Grigor Dimitrov,2008,179,6'3,
Claudio Grassi,2003,176,5'1,
Blazej Koniusz,?,?,?,
Sanam Singh,?,147,5'9,
Edward Corrie,?,176,6'0,
Sean Thornley,?,?,?,
Dane Propoggia,?,?,?,
Jamie Delgado,1995,155,5'1,
Boy Westerhof,2006,176,6'1,
Dmitry Tursunov,2000,180,6'1,
Yuki Bhambri,2008,165,6'1,
Benjamin Balleret,?,187,6'0,
Martin Alund,?,176,6'0,
Igor Sijsling,2006,187,6'3,
Richard Gasquet,2002,174,6'0,
Hugo Dellien,2009,165,5'1,
Liang-Chi Huang,?,?,?,
Eduardo Schwank,2005,182,6'0,
Jerzy Janowicz,2007,207,6'8,
James Blake,1999,183,6'1,
Simon Stadler,2002,165,6'0,
Paul Hanley,1997,168,6'0,
Tommy Haas,1996,185,6'2,
Xavier Malisse,1998,183,6'1,
Andy Ram,1998,182,5'1,
Thiemo de Bakker,?,182,6'4,
Jordan Kerr,1998,176,5'1,
Mardy Fish,2000,180,6'2,
Goran Tosic,?,?,?,
Milos Raonic,2008,216,6'5,
Rubin Statham,2002,176,5'1,
Aljaz Bedene,2008,161,6'0,
Daniel Gimeno-Traver,2004,176,6'0,
Rhyne Williams,2011,185,6'1,
Stephan Fransen,?,?,?,
Marcos Baghdatis,2003,181,5'1,
Nicolas Renavand,?,?,?,
Andreas Beck,2003,196,6'3,
Somdev Devvarman,2008,160,5'1,
Alessandro Giannessi,2008,180,6'1,
Tim Smyczek,2006,160,5'9,
Vahid Mirzadeh,2011,180,5'1,
Roman Borvanov,2004,176,6'0,
Antal Van Der Duim,?,176,6'1,
Danai Udomchoke,1997,141,5'8,
Farrukh Dustov,2003,194,6'4,
Dick Norman,1991,210,6'8,
Alex Bogomolov Jr.,2002,165,5'1,
Michael Kohlmann,1995,185,6'2,
Colin Ebelthite,?,?,?,
Marcel Felder,?,141,?,
Daniel Munoz de la Nava,1999,165,5'9,
Izak Van der Merwe,2005,194,6'5,
Juan Ignacio Chela,1998,165,6'3,
Marinko Matosevic,2003,190,6'4,
Alexander Waske,2000,185,6'2,
Olivier Rochus,1999,143,5'6,
Uladzimir Ignatik,2007,181,6'0,
Antonio Veic,2006,163,5'1,
Olivier Charroin,2005,185,6'0,
Lovro Zovko,1999,176,6'3,
Mark Knowles,1992,195,6'3,
Devin Britton,2009,185,6'4,
Andrei Daescu,?,?,?,
John Paul Fruttero,2003,175,6'1,
Laurynas Grigelis,?,171,6'0,
Bobby Reynolds,2003,170,6'0,
Florian Mayer,2001,180,6'3,
Ivo Karlovic,2000,230,6'1,
Rik De Voest,1999,150,5'1,
Stefano Ianni,?,?,?,
Martin Fischer,2005,157,5'1,
Fred Gil,2003,171,5'8,
Filippo Volandri,1997,161,6'0,
Andre Ghem,2003,190,6'4,
Jorge Aguilar,?,150,5'1,
Christian Harrison,2007,170,5'1,
Jesse Levine,2007,150,5'9,
Ruben Ramirez Hidalgo,1998,163,6'0,
Ivan Navarro,2001,189,6'0,
Matteo Viola,2004,176,6'1,
Adam Hubble,?,?,?,
Michael Russell,1998,155,5'8,
Bjorn Phau,1999,154,5'9,
Kamil Capkovic,2005,205,6'6,
Alexandr Dolgopolov,2006,157,5'1,
Franco Ferreiro,2002,180,6'2,
Simon Aspelin,1998,175,6'1,
Arnaud Clement,1996,163,5'8,
Ivan Ljubicic,1998,202,6'4,
Ashley Fisher,1998,172,6'0,
Simone Vagnozzi,1999,132,0'0,
Travis Parrott,2003,175,6'1,
David Martin,2003,190,6'1,
Victor Hanescu,2000,194,6'6,
Stephen Huss,2000,163,5'1,
Andy Roddick,2000,195,6'2,
Alessio Di Mauro,1998,156,6'1,
Rogier Wassen,1994,207,6'3,
Travis Rettenmaier,2002,185,6'2,
Matthias Bachinger,2005,190,6'2,
Kenny De Schepper,2010,215,6'8,
Adam Feeney,?,154,5'1,
David Skoch,1994,155,6'0,
Alejandro Falla,2000,169,6'1,
Igor Andreev,2002,176,6'1,
Julio Silva,1999,152,5'8,
Yuri Schukin,1999,194,6'1,
Wesley Moodie,2000,200,6'5,
Kei Nishikori,2007,161,5'1,
Juan Martin del Potro,2005,214,6'6,
Karol Beck,2001,163,5'1,
David Rice,?,198,6'4,
Hiroki Kondo,?,170,5'1,
Mikhail Vasiliev,?,?,?,
Sadik Kadir,?,148,?,
Rodrigo-Antonio Grilli,?,?,?,
Andre Miele,?,?,?,
Maciek Sykut,?,185,6'2,
Santiago Ventura,2001,172,6'0,
Dusan Vemic,1995,200,6'2,
Martin Damm,1990,195,6'2,
Leos Friedl,1997,176,6'0,
Brian Battistone,2007,180,6'3,
Martin Slanar,?,?,?,
Sebastian Prieto,1996,165,5'1,
Yves Allegro,1997,181,6'0,
Ryler DeHeart,2006,175,6'0,
Jeff Coetzee,1996,155,5'8,
Leonardo Tavares,?,?,?,
Pierre-Ludovic Duclos,2007,165,6'2,
Brian Dabul,2001,154,5'7,
Harsh Mankad,2002,155,5'8,
Albert Montanes,1999,155,5'9,
Kaden Hensel,?,?,?,
Peter Luczak,2000,170,6'0,
Fernando Gonzalez,1999,180,6'0,
Igor Kunitsyn,1999,165,5'1,
Chris Eaton,?,167,?,
Andis Juska,?,?,?,
Diego Junqueira,2001,159,5'1,
Evgeny Korolev,2005,180,6'1,
Robert Kendrick,2000,190,6'3,
Gabriel Trujillo-Soler,?,?,?,
Steve Darcis,2003,171,5'9,
Simon Greul,2000,176,6'1,
Guillermo Olaso,2006,163,5'9,
Rui Machado,2002,154,5'1,
Vincent Stouff,?,?,?,
Joseph Sirianni,1996,168,5'1,
Nikolaus Moser,?,?,?,
