Player,Turned Pro,Weight,Height
Juan Sebastian Cabal,2005,181,6'1,
Robert Farah,2010,196,6'4,
Nicolas Mahut,2000,181,6'3,
Horacio Zeballos,2003,185,6'2,
Pierre-Hugues Herbert,2010,165,6'2,
Lukasz Kubot,2002,194,6'3,
Marcelo Melo,1998,207,6'8,
Raven Klaasen,2002,157,5'1,
Kevin Krawietz,2010,187,6'2,
Michael Venus,2009,190,6'3,
Andreas Mies,2013,185,6'2,
Ivan Dodig,2004,179,6'0,
Filip Polasek,2005,195,6'4,
Wesley Koolhof,2008,172,6'0,
Nikola Mektic,2008,174,6'0,
Edouard Roger-Vasselin,2002,173,6'1,
Henri Kontinen,2008,181,6'3,
Mate Pavic,2011,183,6'3,
Horia Tecau,2003,198,6'4,
Jean-Julien Rojer,2003,185,6'1,
Bruno Soares,2001,170,5'1,
Joe Salisbury,2014,183,6'3,
Jamie Murray,2004,185,6'3,
Rajeev Ram,2004,185,6'4,
Marcel Granollers,2003,176,6'3,
John Peers,2011,181,6'2,
Bob Bryan,1998,195,6'4,
Mike Bryan,1998,185,6'3,
Fabrice Martin,2006,220,6'6,
Jeremy Chardy,2005,165,6'2,
Neal Skupski,?,180,6'0,
Oliver Marach,1998,187,6'1,
Robin Haase,2005,170,6'3,
Maximo Gonzalez,2002,165,5'9,
Franko Skugor,?,209,6'5,
Jurgen Melzer,1999,176,6'0,
Joao Sousa,2008,163,6'1,
Rohan Bopanna,2003,185,6'4,
Joran Vliegen,2014,172,6'3,
Diego Schwartzman,2010,141,5'7,
Philipp Oswald,2005,209,6'7,
Austin Krajicek,2012,175,6'2,
Marcus Daniell,2008,172,6'3,
Ben McLachlan,2014,172,6'2,
Marcelo Demoliner,?,190,6'4,
Divij Sharan,?,172,6'0,
Sander Gille,2013,165,6'1,
Frederik Nielsen,2001,191,6'2,
Santiago Gonzalez,2001,202,6'3,
Denis Shapovalov,2017,165,6'1,
Luke Bambridge,2013,190,6'3,
Aisam-Ul-Haq Qureshi,1998,181,6'0,
Ken Skupski,?,196,6'0,
Matwe Middelkoop,2002,187,6'3,
Feliciano Lopez,1997,194,6'2,
Jan-Lennard Struff,2009,202,6'4,
Jonny O'Mara,?,176,6'0,
Guido Pella,2007,174,6'0,
Andres Molteni,2005,154,5'1,
Dominic Inglot,?,207,6'6,
Leonardo Mayer,2003,176,6'3,
Artem Sitak,2001,185,6'1,
Tim Puetz,?,171,6'1,
Roman Jebavy,2009,198,6'1,
Igor Zelenay,?,194,6'6,
Hugo Nys,2010,172,6'1,
Jackson Withrow,2016,175,6'1,
Sander Arends,?,212,6'5,
Nicolas Jarry,2014,198,6'6,
Robert Lindstedt,1998,203,6'4,
