Player,Married?,Tournament Earnings($),Rank,Year
Juan Sebastian Cabal,Yes,1390030,1,2019,
Robert Farah,No,1390030,2,2019,
Nicolas Mahut,No,1076046,3,2019,
Horacio Zeballos,Yes,846873,4,2019,
Pierre-Hugues Herbert,No,868371,5,2019,
Lukasz Kubot,No,795870,6,2019,
Marcelo Melo,No,767766,7,2019,
Raven Klaasen,Yes,676145,8,2019,
Kevin Krawietz,No,673491,9,2019,
Michael Venus,No,645808,10,2019,
Andreas Mies,No,664921,11,2019,
Ivan Dodig,Yes,739204,12,2019,
Filip Polasek,No,592158,13,2019,
Wesley Koolhof,No,552367,14,2019,
Nikola Mektic,No,655298,15,2019,
Edouard Roger-Vasselin,Yes,529220,16,2019,
Henri Kontinen,No,482956,17,2019,
Mate Pavic,No,584522,18,2019,
Horia Tecau,No,652307,19,2019,
Jean-Julien Rojer,No,666670,20,2019,
Bruno Soares,Yes,547477,21,2019,
Joe Salisbury,No,600679,22,2019,
Jamie Murray,Yes,487654,23,2019,
Rajeev Ram,Yes,571705,24,2019,
Marcel Granollers,No,371082,25,2019,
John Peers,Yes,427128,26,2019,
Bob Bryan,Yes,480283,27,2019,
Mike Bryan,Yes,480283,28,2019,
Fabrice Martin,No,374491,29,2019,
Jeremy Chardy,Yes,963922,30,2019,
Neal Skupski,No,414486,31,2019,
Oliver Marach,Yes,430995,32,2019,
Robin Haase,No,520974,33,2019,
Maximo Gonzalez,No,300717,34,2019,
Franko Skugor,No,417126,35,2019,
Jurgen Melzer,Yes,285512,36,2019,
Joao Sousa,No,951345,37,2019,
Rohan Bopanna,Yes,287031,38,2019,
Joran Vliegen,No,187673,39,2019,
Diego Schwartzman,No,2154555,40,2019,
Philipp Oswald,Yes,165223,41,2019,
Austin Krajicek,No,243093,42,2019,
Marcus Daniell,No,191117,43,2019,
Ben McLachlan,No,250382,44,2019,
Marcelo Demoliner,No,200407,45,2019,
Divij Sharan,No,182065,46,2019,
Sander Gille,No,141896,47,2019,
Frederik Nielsen,No,147130,48,2019,
Santiago Gonzalez,Yes,153860,49,2019,
Denis Shapovalov,No,2010869,50,2019,
Luke Bambridge,No,162286,51,2019,
Aisam-Ul-Haq Qureshi,No,155931,52,2019,
Ken Skupski,No,124362,53,2019,
Matwe Middelkoop,No,205639,54,2019,
Feliciano Lopez,No,1035529,55,2019,
Jan-Lennard Struff,No,1416551,56,2019,
Jonny O'Mara,No,127245,57,2019,
Guido Pella,No,1449999,58,2019,
Andres Molteni,No,135039,59,2019,
Dominic Inglot,No,205726,60,2019,
Leonardo Mayer,Yes,728028,61,2019,
Artem Sitak,No,180136,62,2019,
Tim Puetz,No,122782,63,2019,
Roman Jebavy,No,133928,64,2019,
Igor Zelenay,No,124337,65,2019,
Hugo Nys,No,99583,66,2019,
Jackson Withrow,No,88358,67,2019,
Sander Arends,No,57070,68,2019,
Nicolas Jarry,No,654171,69,2019,
Robert Lindstedt,No,117145,70,2019,
Marcelo Arevalo,Yes,97358,71,2019,
Cheng-Peng Hsieh,No,78645,72,2019,
Jonathan Erlich,Yes,72259,73,2019,
Romain Arneodo,No,72258,74,2019,
Andrey Rublev,No,1408760,75,2019,
Ariel Behar,No,33278,76,2019,
Andrei Vasilevski,No,38713,77,2019,
Dominic Thiem,No,7091603,78,2019,
Sam Querrey,Yes,949123,79,2019,
Simone Bolelli,Yes,72277,80,2019,
Denys Molchanov,No,88345,81,2019,
Guillermo Duran,No,80247,82,2019,
Gonzalo Escobar,No,29203,83,2019,
Luke Saville,No,42085,84,2019,
Stefanos Tsitsipas,No,6712206,85,2019,
Karen Khachanov,Yes,2097842,86,2019,
Andy Murray,Yes,369320,87,2019,
Max Purcell,No,64062,88,2019,
Purav Raja,Yes,65681,89,2019,
Nikola Cacic,No,51150,90,2019,
Matt Reid,No,69378,91,2019,
John-Patrick Smith,No,69132,92,2019,
Ryan Harrison,Yes,166405,93,2019,
Nathaniel Lammons,No,48223,94,2019,
David Pel,No,36475,95,2019,
Christopher Rungkat,No,71470,96,2019,
Goncalo Oliveira,No,45176,97,2019,
Miguel Angel Reyes-Varela,No,77152,98,2019,
Alexander Zverev,No,3660724,99,2019,
Nicholas Monroe,No,103196,100,2019,
Radu Albot,No,995422,101,2019,
Benoit Paire,No,1413173,102,2019,
Tristan-Samuel Weissborn,No,37798,103,2019,
Fernando Romboli,No,31709,104,2019,
Leander Paes,No,84444,105,2019,
Tomislav Brkic,No,20845,106,2019,
Andre Goransson,No,25868,107,2019,
Ante Pavic,No,26838,108,2019,
Andre Begemann,No,30267,109,2019,
Dusan Lajovic,No,1433267,110,2019,
Jeevan Nedunchezhiyan,Yes,79034,111,2019,
Mischa Zverev,Yes,311481,112,2019,
Mao-Xin Gong,Yes,57420,113,2019,
Pablo Carreno Busta,No,1275369,114,2019,
David Vega Hernandez,No,34393,115,2019,
Ze Zhang,Yes,122382,116,2019,
Evan King,No,23821,117,2019,
Ji Sung Nam,No,22051,118,2019,
Jack Sock,No,132335,119,2019,
Taylor Fritz,Yes,1157138,120,2019,
Matthew Ebden,Yes,350058,121,2019,
Hunter Reese,No,37288,122,2019,
Jamie Cerretani,No,44601,123,2019,
Pablo Cuevas,No,863324,124,2019,
Federico Delbonis,Yes,576085,125,2019,
Gerard Granollers,No,54228,126,2019,
Robert Galloway,No,34119,127,2019,
Antonio Sancic,Yes,18007,128,2019,
Min-Kyu Song,No,19076,129,2019,
Andrea Vavassori,No,19198,130,2019,
Hans Hach Verdugo,No,24039,131,2019,
Sem Verbeek,No,16547,132,2019,
Hans Podlipnik-Castillo,No,36691,133,2019,
Ramkumar Ramanathan,No,145638,134,2019,
Luis David Martinez,No,19228,135,2019,
Roberto Maytin,No,19442,136,2019,
N.Sriram Balaji,No,22053,137,2019,
Adil Shamasdin,No,15746,138,2019,
Novak Djokovic,Yes,11517228,139,2019,
Mikhail Kukushkin,No,965179,140,2019,
Alex de Minaur,No,1895709,141,2019,
Orlando Luz,No,16665,142,2019,
Guido Andreozzi,No,361608,143,2019,
Harri Heliovaara,No,12573,144,2019,
Luca Margaroli,No,22140,145,2019,
Nathan Pasha,No,19638,146,2019,
Kyle Edmund,No,923876,147,2019,
Fabio Fognini,Yes,2535049,148,2019,
Daniel Evans,No,820079,149,2019,
Roberto Carballes Baena,No,585167,150,2019,
Florin Mergea,Yes,13935,151,2019,
Alex Lawson,No,14258,152,2019,
Thomaz Bellucci,Yes,33838,153,2019,
Quentin Halys,No,39471,154,2019,
Fabricio Neis,No,12662,155,2019,
Zhe Li,No,187820,156,2019,
Tsung-Hua Yang,No,18525,157,2019,
Benjamin Bonzi,No,24055,158,2019,
Cameron Norrie,No,868846,159,2019,
Jordan Thompson,No,829520,160,2019,
JC Aragone,No,14044,161,2019,
Rogerio Dutra Silva,Yes,79652,162,2019,
Szymon Walkow,No,11531,163,2019,
David Goffin,No,2421718,164,2019,
Dennis Novikov,No,13778,165,2019,
Sergiy Stakhovsky,Yes,220403,166,2019,
Treat Huey,No,19807,167,2019,
Andrey Golubev,No,7659,168,2019,
Fabien Reboul,No,11763,169,2019,
Jaume Munar,No,581185,170,2019,
Malek Jaziri,Yes,367132,171,2019,
Ivan Sabanov,No,12718,172,2019,
Matej Sabanov,No,12718,173,2019,
Andreas Siljestrom,No,9839,174,2019,
Daniel Masur,No,14187,175,2019,
Sadio Doumbia,No,11883,176,2019,
Toshihide Matsui,Yes,14864,177,2019,
Felipe Meligeni Rodrigues Alves,No,13002,178,2019,
Reilly Opelka,No,1042624,179,2019,
Scott Puodziunas,No,13039,180,2019,
Peter Polansky,No,161001,181,2019,
John Isner,Yes,1709328,182,2019,
Tristan Lamasine,No,39867,183,2019,
Darian King,No,130264,184,2019,
Teymuraz Gabashvili,No,31446,185,2019,
