Player,Married?,Tournament Earnings($),Rank,Year
Maxime Cressy,No,50660,186,2019,
Janko Tipsarevic,Yes,356442,187,2019,
Daniil Medvedev,Yes,7117310,188,2019,
Miomir Kecmanovic,No,1046628,189,2019,
Nikoloz Basilashvili,Yes,1571102,190,2019,
Marc Lopez,No,75525,191,2019,
Fernando Verdasco,Yes,1200419,192,2019,
Ruben Bemelmans,No,133552,193,2019,
Pedro Martinez,No,174730,194,2019,
Martin Redlicki,No,9936,195,2019,
Scott Clayton,No,21172,196,2019,
Saketh Myneni,No,11585,197,2019,
Marc Polmans,No,162457,198,2019,
Aleksandr Nedovyesov,No,10735,199,2019,
Zdenek Kolar,No,79790,200,2019,
Mike Bryan,Yes,1778178,1,2018,
Jack Sock,No,738746,2,2018,
Mate Pavic,No,1132838,3,2018,
Oliver Marach,Yes,1108341,4,2018,
Juan Sebastian Cabal,Yes,894529,5,2018,
Robert Farah,No,894529,6,2018,
Jamie Murray,Yes,813325,7,2018,
Bruno Soares,Yes,813325,8,2018,
Lukasz Kubot,No,917592,9,2018,
Marcelo Melo,No,917592,10,2018,
Nicolas Mahut,No,756601,11,2018,
Pierre-Hugues Herbert,No,848674,12,2018,
Nikola Mektic,No,680665,13,2018,
Bob Bryan,Yes,717177,14,2018,
Raven Klaasen,Yes,610320,15,2018,
Michael Venus,No,612390,16,2018,
Alexander Peya,Yes,583509,17,2018,
Ben McLachlan,No,407321,18,2018,
Jean-Julien Rojer,No,473481,19,2018,
Dominic Inglot,No,354820,20,2018,
Rajeev Ram,Yes,484875,21,2018,
Jan-Lennard Struff,No,918302,22,2018,
John Peers,Yes,485736,23,2018,
Edouard Roger-Vasselin,Yes,428777,24,2018,
Marcel Granollers,No,199666,25,2018,
Henri Kontinen,No,483050,26,2018,
Horia Tecau,No,352879,27,2018,
Franko Skugor,No,333124,28,2018,
Horacio Zeballos,Yes,296189,29,2018,
Joe Salisbury,No,243653,30,2018,
Marc Lopez,No,380580,31,2018,
Feliciano Lopez,No,824652,32,2018,
Neal Skupski,No,248407,33,2018,
Artem Sitak,No,235738,34,2018,
Ivan Dodig,Yes,332430,35,2018,
Matwe Middelkoop,No,249022,36,2018,
Rohan Bopanna,Yes,302654,37,2018,
Robin Haase,No,942335,38,2018,
Divij Sharan,No,196418,39,2018,
Julio Peralta,No,235104,40,2018,
Austin Krajicek,No,142375,41,2018,
Wesley Koolhof,No,185454,42,2018,
Maximo Gonzalez,No,173884,43,2018,
Pablo Cuevas,No,592801,44,2018,
Joao Sousa,No,1033432,45,2018,
Robert Lindstedt,No,166422,46,2018,
Aisam-Ul-Haq Qureshi,No,257499,47,2018,
Andres Molteni,No,141510,48,2018,
Roman Jebavy,No,147911,49,2018,
Nicolas Jarry,No,799215,50,2018,
Marcus Daniell,No,183231,51,2018,
Philipp Oswald,Yes,146588,52,2018,
Santiago Gonzalez,Yes,177507,53,2018,
Marcelo Arevalo,Yes,101007,54,2018,
Ken Skupski,No,115591,55,2018,
Luke Bambridge,No,100288,56,2018,
Miguel Angel Reyes-Varela,No,107022,57,2018,
Frederik Nielsen,No,107663,58,2018,
John Isner,Yes,3746875,59,2018,
Tim Puetz,No,97412,60,2018,
Jamie Cerretani,No,163745,61,2018,
Jonny O'Mara,No,81609,62,2018,
Leander Paes,No,123800,63,2018,
David Marrero,Yes,170284,64,2018,
Nicholas Monroe,No,162039,65,2018,
Radu Albot,No,579728,66,2018,
Denys Molchanov,No,65147,67,2018,
Igor Zelenay,No,63973,68,2018,
Hans Podlipnik-Castillo,No,103718,69,2018,
Marcelo Demoliner,No,113257,70,2018,
Kevin Krawietz,No,62522,71,2018,
Sam Querrey,Yes,1028867,72,2018,
Andreas Mies,No,60513,73,2018,
Jeevan Nedunchezhiyan,Yes,77837,74,2018,
Leonardo Mayer,Yes,938352,75,2018,
Marcin Matkowski,Yes,141670,76,2018,
Fabio Fognini,Yes,1926977,77,2018,
Pablo Carreno Busta,No,1622247,78,2018,
Hugo Nys,No,103513,79,2018,
Fernando Verdasco,Yes,1452316,80,2018,
John-Patrick Smith,No,145301,81,2018,
Sander Gille,No,38960,82,2018,
Cheng-Peng Hsieh,No,37131,83,2018,
Philipp Petzschner,Yes,109827,84,2018,
Joran Vliegen,No,36702,85,2018,
Fabrice Martin,No,139716,86,2018,
Jackson Withrow,No,83364,87,2018,
Romain Arneodo,No,71894,88,2018,
Steve Johnson,Yes,941024,89,2018,
Purav Raja,Yes,89955,90,2018,
Mischa Zverev,Yes,888179,91,2018,
Gerard Granollers,No,33725,92,2018,
Christopher Rungkat,No,32214,93,2018,
Sander Arends,No,74266,94,2018,
Daniele Bracciali,No,82033,95,2018,
Ze Zhang,Yes,81809,96,2018,
Simone Bolelli,Yes,90754,97,2018,
Guillermo Duran,No,46509,98,2018,
Malek Jaziri,Yes,887185,99,2018,
Mao-Xin Gong,Yes,42462,100,2018,
Jonathan Erlich,Yes,82326,101,2018,
Ryan Harrison,Yes,701357,102,2018,
Ariel Behar,No,31361,103,2018,
Antonio Sancic,Yes,67224,104,2018,
Diego Schwartzman,No,1891302,105,2018,
Matthew Ebden,Yes,871765,106,2018,
Alexander Zverev,No,7726914,107,2018,
Jonathan Eysseric,No,78458,108,2018,
Robert Galloway,No,37788,109,2018,
N.Sriram Balaji,No,45712,110,2018,
Rameez Junaid,No,22128,111,2018,
Karen Khachanov,Yes,2966360,112,2018,
Goncalo Oliveira,No,77440,113,2018,
Andre Begemann,No,57122,114,2018,
Matt Reid,No,44956,115,2018,
David Vega Hernandez,No,20924,116,2018,
Guido Andreozzi,No,308681,117,2018,
Tristan-Samuel Weissborn,No,26121,118,2018,
Nathan Pasha,No,33997,119,2018,
Fernando Romboli,No,22298,120,2018,
Luke Saville,No,15600,121,2018,
Andrei Vasilevski,No,73628,122,2018,
Peter Polansky,No,357552,123,2018,
Vishnu Vardhan,No,37387,124,2018,
Matteo Berrettini,No,709801,125,2018,
Roberto Maytin,No,19575,126,2018,
Andrey Rublev,No,954551,127,2018,
Max Purcell,No,70916,128,2018,
Sanchai Ratiwatana,No,29692,129,2018,
Nathaniel Lammons,No,32082,130,2018,
Guillermo Garcia-Lopez,No,523437,131,2018,
Federico Delbonis,Yes,502527,132,2018,
Andrea Vavassori,No,24897,133,2018,
Jurgen Melzer,Yes,57327,134,2018,
Jeremy Chardy,Yes,943401,135,2018,
Guido Pella,No,788735,136,2018,
Benoit Paire,No,971279,137,2018,
Hunter Reese,No,19617,138,2018,
Nick Kyrgios,No,1001667,139,2018,
Hsien-Yin Peng,No,730,140,2018,
David Pel,No,15153,141,2018,
Lleyton Hewitt,Yes,Unable to Retrieve Information,142,2018,
Fabricio Neis,No,18776,143,2018,
Evan King,No,90245,144,2018,
Adil Shamasdin,No,37087,145,2018,
Ruben Gonzales,No,18672,146,2018,
Aliaksandr Bury,No,258,147,2018,
Damir Dzumhur,No,1102055,148,2018,
Tsung-Hua Yang,No,17761,149,2018,
Enrique Lopez Perez,No,76188,150,2018,
Luca Margaroli,No,22533,151,2018,
Tennys Sandgren,No,808870,152,2018,
Sonchat Ratiwatana,No,28129,153,2018,
Zhe Li,No,72991,154,2018,
Ante Pavic,No,15531,155,2018,
Toshihide Matsui,Yes,19835,156,2018,
Timur Khabibulin,No,14092,157,2018,
Pedro Martinez,No,100592,158,2018,
Roberto Quiroz,No,72762,159,2018,
Gonzalo Escobar,No,14992,160,2018,
Kyle Edmund,No,2099313,161,2018,
Hans Hach Verdugo,No,28229,162,2018,
Filip Polasek,No,16131,163,2018,
Luis David Martinez,No,13392,164,2018,
Scott Clayton,No,26577,165,2018,
Tomislav Brkic,No,13336,166,2018,
Scott Lipsky,No,Unable to Retrieve Information,167,2018,
Alessandro Motti,No,1145,168,2018,
Ruan Roelofse,No,6642,169,2018,
Mikhail Elgin,No,27417,170,2018,
Andrej Martin,No,83770,171,2018,
Bradley Mousley,No,23736,172,2018,
Dustin Brown,No,120015,173,2018,
Sergio Galdos,No,16256,174,2018,
Sam Groth,No,8570,175,2018,
Philipp Kohlschreiber,Yes,1209087,176,2018,
Jiri Vesely,Yes,527048,177,2018,
Dominic Thiem,No,4519352,178,2018,
Nikoloz Basilashvili,Yes,2023705,179,2018,
Yasutaka Uchiyama,No,68692,180,2018,
Alex Lawson,No,16226,181,2018,
Cameron Norrie,No,512062,182,2018,
Denis Kudla,No,589703,183,2018,
Julian Ocleppo,No,19473,184,2018,
Andreas Siljestrom,No,26146,185,2018,
Frances Tiafoe,No,1026059,186,2018,
Harri Heliovaara,No,13664,187,2018,
Martin Cuevas,No,23165,188,2018,
Saketh Myneni,No,11240,189,2018,
Vladyslav Manafov,No,12595,190,2018,
Henri Laaksonen,No,164072,191,2018,
Gilles Simon,No,1135499,192,2018,
Donald Young,No,234360,193,2018,
Federico Gaio,No,108002,194,2018,
Stephane Robert,No,168163,195,2018,
Tomislav Draganja,No,12707,196,2018,
Mark Vervoort,No,11937,197,2018,
Thanasi Kokkinakis,No,244805,198,2018,
Andrea Pellegrino,No,16824,199,2018,
Alexander Pavlioutchenkov,No,16055,200,2018,
Marcelo Melo,No,1358430,1,2017,
Lukasz Kubot,No,1366801,2,2017,
Henri Kontinen,No,1159561,3,2017,
John Peers,Yes,1164648,4,2017,
Ivan Dodig,Yes,700121,5,2017,
Nicolas Mahut,No,747550,6,2017,
Jean-Julien Rojer,No,784518,7,2017,
Horia Tecau,No,774623,8,2017,
Jamie Murray,Yes,676391,9,2017,
Bruno Soares,Yes,681751,10,2017,
Bob Bryan,Yes,539231,11,2017,
Mike Bryan,Yes,539231,12,2017,
Pierre-Hugues Herbert,No,548409,13,2017,
Marcel Granollers,No,339238,14,2017,
Michael Venus,No,605131,15,2017,
Ryan Harrison,Yes,780131,16,2017,
Mate Pavic,No,491027,17,2017,
Rohan Bopanna,Yes,517790,18,2017,
Oliver Marach,Yes,408263,19,2017,
Marc Lopez,No,449551,20,2017,
Pablo Cuevas,No,1124349,21,2017,
Rajeev Ram,Yes,478524,22,2017,
Juan Sebastian Cabal,Yes,312616,23,2017,
Feliciano Lopez,No,1303087,24,2017,
Raven Klaasen,Yes,444262,25,2017,
Edouard Roger-Vasselin,Yes,353528,26,2017,
Robert Farah,No,248951,27,2017,
Santiago Gonzalez,Yes,301410,28,2017,
Julio Peralta,No,231499,29,2017,
Nicholas Monroe,No,297290,30,2017,
Aisam-Ul-Haq Qureshi,No,314622,31,2017,
Nikola Mektic,No,253179,32,2017,
Fabrice Martin,No,279854,33,2017,
Marcelo Demoliner,No,198706,34,2017,
Nenad Zimonjic,Yes,227529,35,2017,
Matwe Middelkoop,No,191845,36,2017,
Marcus Daniell,No,172134,37,2017,
Horacio Zeballos,Yes,165726,38,2017,
Jack Sock,No,2824160,39,2017,
Marcin Matkowski,Yes,210601,40,2017,
Max Mirnyi,Yes,181007,41,2017,
Franko Skugor,No,120547,42,2017,
Brian Baker,Yes,157557,43,2017,
Pablo Carreno Busta,No,2553481,44,2017,
Julien Benneteau,Yes,570468,45,2017,
Wesley Koolhof,No,134945,46,2017,
Divij Sharan,No,129313,47,2017,
Andres Molteni,No,132439,48,2017,
Donald Young,No,713155,49,2017,
Philipp Oswald,Yes,131278,50,2017,
Dominic Inglot,No,139378,51,2017,
Mischa Zverev,Yes,1276778,52,2017,
Florin Mergea,Yes,196358,53,2017,
Alexander Peya,Yes,192392,54,2017,
Artem Sitak,No,124253,55,2017,
Daniel Nestor,Yes,209875,56,2017,
Sam Querrey,Yes,2232151,57,2017,
Hans Podlipnik-Castillo,No,92130,58,2017,
Roman Jebavy,No,110083,59,2017,
Purav Raja,Yes,113820,60,2017,
Andrei Vasilevski,No,84662,61,2017,
Adil Shamasdin,No,109380,62,2017,
Leander Paes,No,129034,63,2017,
Guillermo Duran,No,91695,64,2017,
Treat Huey,No,130924,65,2017,
Fernando Verdasco,Yes,1205065,66,2017,
Neal Skupski,No,85177,67,2017,
John-Patrick Smith,No,147532,68,2017,
Scott Lipsky,No,1465,69,2017,
Marc Polmans,No,80432,70,2017,
Philipp Petzschner,Yes,147605,71,2017,
Robert Lindstedt,No,122791,72,2017,
Ben McLachlan,No,72401,73,2017,
Julian Knowle,No,Unable to Retrieve Information,74,2017,
Nick Kyrgios,No,1771001,75,2017,
Andrew Whittington,No,155475,76,2017,
David Marrero,Yes,118352,77,2017,
Jonathan Erlich,Yes,94784,78,2017,
Antonio Sancic,Yes,56768,79,2017,
Sam Groth,No,106529,80,2017,
Robin Haase,No,1036239,81,2017,
Jonathan Eysseric,No,65524,82,2017,
Andre Begemann,No,90285,83,2017,
Guillermo Garcia-Lopez,No,403630,84,2017,
Paolo Lorenzi,Yes,979470,85,2017,
Alex Bolt,No,81031,86,2017,
Ken Skupski,No,79052,87,2017,
Jordan Thompson,No,422805,88,2017,
Jamie Cerretani,No,93295,89,2017,
Rogerio Dutra Silva,Yes,438546,90,2017,
Hugo Nys,No,77508,91,2017,
Sanchai Ratiwatana,No,40657,92,2017,
Jeremy Chardy,Yes,553200,93,2017,
Andre Sa,No,1520,94,2017,
Mikhail Elgin,No,66617,95,2017,
Fabio Fognini,Yes,1304893,96,2017,
Matt Reid,No,87787,97,2017,
Bradley Mousley,No,52070,98,2017,
Sander Arends,No,38539,99,2017,
John Isner,Yes,1707551,100,2017,
Sonchat Ratiwatana,No,38507,101,2017,
Jeevan Nedunchezhiyan,Yes,53692,102,2017,
Alexander Zverev,No,4206314,103,2017,
Gilles Muller,Yes,1210901,104,2017,
Romain Arneodo,No,47385,105,2017,
Igor Zelenay,No,31849,106,2017,
Joe Salisbury,No,39351,107,2017,
Miguel Angel Reyes-Varela,No,21130,108,2017,
Jackson Withrow,No,41470,109,2017,
Viktor Troicki,Yes,880717,110,2017,
Marcelo Arevalo,Yes,22936,111,2017,
Tristan-Samuel Weissborn,No,35175,112,2017,
Maximo Gonzalez,No,26248,113,2017,
Sander Gille,No,20482,114,2017,
Cheng-Peng Hsieh,No,39077,115,2017,
Vishnu Vardhan,No,25751,116,2017,
Joran Vliegen,No,19705,117,2017,
Hsien-Yin Peng,No,0,118,2017,
Sergio Galdos,No,29256,119,2017,
Ariel Behar,No,33252,120,2017,
Karen Khachanov,Yes,1145272,121,2017,
Christopher Rungkat,No,21938,122,2017,
Denys Molchanov,No,25499,123,2017,
Yasutaka Uchiyama,No,91257,124,2017,
Marin Draganja,No,0,125,2017,
Austin Krajicek,No,33340,126,2017,
Fabricio Neis,No,20351,127,2017,
Tomislav Draganja,No,20186,128,2017,
Kevin Krawietz,No,29136,129,2017,
Luke Saville,No,25195,130,2017,
Andreas Mies,No,18381,131,2017,
Dino Marcan,Yes,0,132,2017,
N.Sriram Balaji,No,20093,133,2017,
Brydan Klein,No,29321,134,2017,
Jiri Vesely,Yes,695065,135,2017,
Fabiano De Paula,No,4766,136,2017,
David O'Hare,No,0,137,2017,
Steven De Waard,No,1770,138,2017,
Luke Bambridge,No,20955,139,2017,
Gero Kretschmer,Yes,Unable to Retrieve Information,140,2017,
Chu-Huan Yi,No,0,141,2017,
Toshihide Matsui,Yes,23337,142,2017,
Tomasz Bednarek,No,14186,143,2017,
Ruan Roelofse,No,4530,144,2017,
Andreas Siljestrom,No,46643,145,2017,
David Pel,No,16838,146,2017,
Aliaksandr Bury,No,2369,147,2017,
Diego Schwartzman,No,1523165,148,2017,
Albert Ramos-Vinolas,Yes,1643204,149,2017,
Scott Clayton,No,24722,150,2017,
Max Schnur,No,25709,151,2017,
Zdenek Kolar,No,44930,152,2017,
Johan Brunstrom,Yes,Unable to Retrieve Information,153,2017,
Luca Margaroli,No,22277,154,2017,
Leonardo Mayer,Yes,654583,155,2017,
Andrey Kuznetsov,No,449286,156,2017,
Alexander Satschko,No,Unable to Retrieve Information,157,2017,
Adrian Menendez-Maceiras,No,184299,158,2017,
Lucas Pouille,Yes,1953511,159,2017,
Guido Andreozzi,No,100007,160,2017,
Evan King,No,97081,161,2017,
Facundo Bagnis,No,224746,162,2017,
Jarryd Chaplin,No,0,163,2017,
Tim Puetz,No,23507,164,2017,
Alessandro Motti,No,Unable to Retrieve Information,165,2017,
Goncalo Oliveira,No,58115,166,2017,
Steve Johnson,Yes,933229,167,2017,
Sergiy Stakhovsky,Yes,288576,168,2017,
Jonny O'Mara,No,22187,169,2017,
Chris Guccione,No,32859,170,2017,
Simone Bolelli,Yes,48009,171,2017,
Benoit Paire,No,1022812,172,2017,
Denis Kudla,No,130620,173,2017,
Andrea Vavassori,No,12541,174,2017,
David Vega Hernandez,No,12494,175,2017,
Dudi Sela,Yes,474395,176,2017,
Franco Agamenone,No,10473,177,2017,
Thanasi Kokkinakis,No,240108,178,2017,
Vasek Pospisil,No,324679,179,2017,
Nicolas Jarry,No,159234,180,2017,
Mikelis Libietis,No,2230,181,2017,
Dustin Brown,No,449738,182,2017,
Tristan Lamasine,No,46266,183,2017,
Marin Cilic,Yes,3596923,184,2017,
Alex Lawson,No,12638,185,2017,
Grzegorz Panfil,No,1000,186,2017,
Tuna Altuna,No,17162,187,2017,
Fernando Romboli,No,9482,188,2017,
Ti Chen,No,11768,189,2017,
Jan-Lennard Struff,No,781652,190,2017,
Vladyslav Manafov,No,11418,191,2017,
Di Wu,No,141017,192,2017,
Ruben Gonzales,No,11055,193,2017,
Mateusz Kowalczyk,No,10521,194,2017,
Tommy Robredo,No,232306,195,2017,
Ivan Sabanov,No,9323,196,2017,
Nathaniel Lammons,No,10351,197,2017,
Mao-Xin Gong,Yes,25005,198,2017,
Ze Zhang,Yes,91205,199,2017,
Gabor Borsos,No,11362,200,2017,
Nicolas Mahut,No,1121953,1,2016,
Pierre-Hugues Herbert,No,405112,2,2016,
Bruno Soares,Yes,977658,3,2016,
Jamie Murray,Yes,966990,4,2016,
Bob Bryan,Yes,782511,5,2016,
Mike Bryan,Yes,782511,6,2016,
Henri Kontinen,No,739792,7,2016,
Marcelo Melo,No,701488,8,2016,
John Peers,Yes,701161,9,2016,
Marc Lopez,No,646690,10,2016,
Feliciano Lopez,No,1068603,11,2016,
Raven Klaasen,Yes,535336,12,2016,
Ivan Dodig,Yes,553222,13,2016,
Rajeev Ram,Yes,532660,14,2016,
Daniel Nestor,Yes,439931,15,2016,
Jack Sock,No,1220799,16,2016,
Edouard Roger-Vasselin,Yes,407565,17,2016,
Marcel Granollers,No,867768,18,2016,
Horia Tecau,No,442130,19,2016,
Vasek Pospisil,No,478228,20,2016,
Max Mirnyi,Yes,382890,21,2016,
Treat Huey,No,380877,22,2016,
Alexander Peya,Yes,345610,23,2016,
Lukasz Kubot,No,380549,24,2016,
Pablo Carreno Busta,No,990822,25,2016,
Florin Mergea,Yes,306275,26,2016,
Jean-Julien Rojer,No,416732,27,2016,
Rohan Bopanna,Yes,333067,28,2016,
Mate Pavic,No,218483,29,2016,
Juan Sebastian Cabal,Yes,240044,30,2016,
Robert Farah,No,240044,31,2016,
Michael Venus,No,192711,32,2016,
Oliver Marach,Yes,227008,33,2016,
Pablo Cuevas,No,1270475,34,2016,
Julien Benneteau,Yes,331430,35,2016,
Marcin Matkowski,Yes,261634,36,2016,
Fabrice Martin,No,263519,37,2016,
Radek Stepanek,No,344611,38,2016,
Robert Lindstedt,No,214937,39,2016,
Aisam-Ul-Haq Qureshi,No,190796,40,2016,
David Marrero,Yes,165089,41,2016,
Chris Guccione,No,159749,42,2016,
Dominic Inglot,No,190787,43,2016,
Julio Peralta,No,97523,44,2016,
Horacio Zeballos,Yes,91986,45,2016,
Guillermo Garcia-Lopez,No,645053,46,2016,
Santiago Gonzalez,Yes,115179,47,2016,
Scott Lipsky,No,1670,48,2016,
Sam Groth,No,248788,49,2016,
Marcus Daniell,No,112786,50,2016,
Jonathan Erlich,Yes,122407,51,2016,
Nicholas Monroe,No,146184,52,2016,
Andre Sa,No,0,53,2016,
John Isner,Yes,1392560,54,2016,
Andres Molteni,No,89522,55,2016,
Guillermo Duran,No,103723,56,2016,
Matwe Middelkoop,No,97961,57,2016,
