Player,Turned Pro,Weight,Height
Peter Gojowczyk,2006,183,6'2,
Gianluca Mager,2013,170,6'2,
Christopher O'Connell,?,172,6'0,
Federico Coria,2010,161,5'1,
Go Soeda,2003,160,5'1,
Juan Martin del Potro,2005,214,6'6,
Emil Ruusuvuori,2018,174,6'2,
Prajnesh Gunneswaran,2010,176,6'2,
Andy Murray,2005,181,6'3,
Yannick Maden,2013,155,6'1,
Jason Jung,2011,152,5'1,
Hyeon Chung,2014,196,6'2,
Mackenzie McDonald,2016,160,5'1,
Sumit Nagal,2015,152,5'1,
Ilya Ivashka,2013,185,6'4,
Guido Andreozzi,2010,172,6'0,
Attila Balazs,?,172,5'1,
Marc Polmans,2015,172,6'2,
Bradley Klahn,2012,165,6'0,
Steven Diez,2009,167,5'9,
Facundo Bagnis,2008,180,6'0,
Zhizhen Zhang,2012,192,6'4,
Jozef Kovalik,2010,181,6'0,
Pedro Sousa,2007,154,5'1,
Martin Klizan,2007,187,6'3,
Dudi Sela,2002,144,5'9,
Juan Pablo Varillas,?,172,6'1,
Guillermo Garcia-Lopez,2002,176,6'1,
Blaz Rola,2013,187,6'4,
Emilio Gomez,?,178,6'1,
Tatsuma Ito,2006,165,5'1,
Alessandro Giannessi,2008,180,6'1,
Vasek Pospisil,2007,194,6'4,
Sergiy Stakhovsky,2003,176,6'4,
Lorenzo Giustino,2007,182,5'1,
Federico Gaio,2009,185,5'1,
Marius Copil,2008,192,6'4,
Jay Clarke,2016,181,6'2,
Nikola Milojevic,2013,168,6'2,
Sebastian Ofner,2015,179,6'3,
Steve Darcis,2003,171,5'9,
Viktor Troicki,2006,189,6'4,
Alex Bolt,2011,185,6'0,
Kimmer Coppejans,2012,150,5'1,
Andrew Harris,?,179,6'0,
Robin Haase,2005,170,6'3,
Oscar Otte,2011,174,6'4,
Rudolf Molleker,2017,165,6'1,
Cedrik-Marcel Stebe,2010,154,6'0,
Darian King,2010,170,6'2,
Mitchell Krueger,2012,180,6'2,
Mikael Torpegaard,2018,185,6'4,
Danilo Petrovic,?,190,6'8,
Pedro Martinez,2016,168,6'1,
Filip Horansky,2012,170,6'3,
Yannick Hanfmann,2015,190,6'4,
Joao Domingues,2013,154,?,
Ramkumar Ramanathan,2009,176,6'2,
Mohamed Safwat,?,182,5'1,
Elias Ymer,2014,174,6'0,
Denis Istomin,2004,187,6'2,
Tallon Griekspoor,2015,187,6'2,
Marcos Baghdatis,2003,181,5'1,
Lukas Rosol,2004,182,6'4,
Roberto Marcora,2009,187,6'4,
Enrique Lopez Perez,2009,168,5'1,
Lukas Lacko,2005,192,6'2,
Peter Polansky,2007,176,6'0,
Bernard Tomic,2008,201,6'5,
Dmitry Popko,2011,192,6'3,
Mats Moraing,2013,185,6'6,
J.J. Wolf,?,175,6'0,
Joao Menezes,?,178,6'1,
Carlos Taberner,2015,172,6'0,
Daniel Elahi Galan,2015,159,6'3,
Enzo Couacaud,?,172,6'0,
Zhe Li,2004,169,6'1,
Nicolas Mahut,2000,181,6'3,
Andrea Collarini,2010,176,6'1,
Maxime Cressy,2019,194,6'7,
Mario Vilella Martinez,?,163,5'1,
Botic Van de Zandschulp,?,183,6'2,
Thanasi Kokkinakis,2013,185,6'4,
Bernabe Zapata Miralles,?,180,6'0,
Malek Jaziri,2003,179,6'1,
Matthew Ebden,2006,176,6'2,
Ryan Harrison,2007,185,6'1,
Mischa Zverev,2005,195,6'3,
Tomas Berdych,2002,200,6'5,
Maximilian Marterer,2015,185,6'3,
Mirza Basic,2012,193,6'2,
Ernests Gulbis,2004,187,6'3,
Michael Mmoh,2016,198,6'2,
Jack Sock,2011,195,6'3,
Jared Donaldson,2014,165,6'2,
Jason Kubler,2011,163,5'1,
Ruben Bemelmans,2006,165,6'0,
Marco Trungelliti,2008,172,5'1,
David Ferrer,2000,161,5'9,
Quentin Halys,2012,172,6'3,
Adrian Menendez-Maceiras,2005,165,6'0,
Matthias Bachinger,2005,190,6'2,
Noah Rubin,2015,155,5'9,
Bjorn Fratangelo,2012,175,6'0,
Yuki Bhambri,2008,165,6'1,
Gilles Muller,2001,196,6'4,
Carlos Berlocq,2001,178,6'0,
Simone Bolelli,2003,182,6'0,
Jurgen Zopp,2008,194,6'3,
Constant Lestienne,2012,170,5'1,
Gianluigi Quinzi,2010,185,6'3,
Rogerio Dutra Silva,2003,161,5'1,
Tim Smyczek,2006,160,5'9,
Filippo Baldi,2012,176,6'0,
Luca Vanni,?,207,6'6,
Christopher Eubanks,2017,180,6'7,
Pedja Krstin,2012,176,6'0,
Horacio Zeballos,2003,185,6'2,
Alexey Vatutin,?,152,5'1,
Andrea Arnaboldi,2006,158,5'1,
Nicolas Kicker,2009,165,5'1,
Aleksandr Nedovyesov,2005,179,6'4,
Roberto Quiroz,2014,193,6'4,
Daniel Brands,2005,203,6'5,
James Ward,2006,171,6'2,
Ernesto Escobedo,2014,180,6'1,
Daniel Gimeno-Traver,2004,176,6'0,
Hiroki Moriya,?,143,5'6,
John-Patrick Smith,2012,185,6'2,
Yosuke Watanuki,2016,139,5'1,
Stephane Robert,2001,170,6'1,
Maxime Janvier,2014,176,6'4,
Kenny De Schepper,2010,215,6'8,
Stefano Napolitano,2012,198,6'5,
Adam Pavlasek,2012,168,6'1,
Alexandr Dolgopolov,2006,157,5'1,
Julien Benneteau,2000,174,6'1,
Donald Young,2004,175,6'0,
Florian Mayer,2001,180,6'3,
Yen-Hsun Lu,2001,163,5'1,
Victor Estrella Burgos,2002,170,5'7,
Mikhail Youzhny,1999,160,6'0,
Blaz Kavcic,2005,172,6'2,
Gerald Melzer,2007,176,6'2,
Janko Tipsarevic,2002,176,5'1,
Andrey Kuznetsov,2008,156,6'1,
Thomaz Bellucci,2005,181,6'2,
Gastao Elias,2008,168,6'0,
Jerzy Janowicz,2007,207,6'8,
Dustin Brown,2002,172,6'5,
Renzo Olivo,2009,160,5'1,
Uladzimir Ignatik,2007,181,6'0,
Akira Santillan,2013,172,5'1,
Nicolas Almagro,2003,190,6'0,
Gleb Sakharov,2005,176,6'1,
Calvin Hemery,2013,184,6'3,
Mathias Bourgue,?,183,6'2,
Tommy Robredo,1998,165,5'1,
Stefan Kozlov,2013,174,6'0,
Liam Broady,2014,172,6'0,
Arthur De Greef,2010,161,6'0,
Aldin Setkic,?,189,6'3,
Viktor Galovic,2011,194,6'4,
Filip Peliwo,2013,158,5'1,
Jurgen Melzer,1999,176,6'0,
Benjamin Bonzi,2015,168,6'1,
Vincent Millot,2007,165,5'8,
Marcelo Arevalo,2012,190,6'3,
Ze Zhang,2008,187,6'2,
Goncalo Oliveira,2012,174,6'1,
Duckhee Lee,2013,165,5'9,
Illya Marchenko,2006,181,6'1,
Ricardo Ojeda Lara,2010,165,5'1,
Juan Monaco,2002,179,6'1,
Paul-Henri Mathieu,1999,163,6'1,
Konstantin Kravchuk,2004,176,6'3,
Santiago Giraldo,2004,166,6'2,
Inigo Cervantes,2009,172,6'0,
Radek Stepanek,1996,167,6'1,
Tobias Kamke,2004,167,5'1,
Benjamin Becker,2005,158,5'1,
Marco Chiudinelli,2000,187,6'1,
Joao Souza,2006,203,6'4,
Rajeev Ram,2004,185,6'4,
Teymuraz Gabashvili,2001,182,6'2,
Ivan Dodig,2004,179,6'0,
Ruben Ramirez Hidalgo,1998,163,6'0,
Maximo Gonzalez,2002,165,5'9,
Grega Zemlja,2004,179,6'0,
Di Wu,2009,143,5'8,
Jan Satral,2010,181,6'2,
Albert Montanes,1999,155,5'9,
Dennis Novikov,2013,200,6'4,
Andrew Whittington,?,181,6'2,
Igor Sijsling,2006,187,6'3,
Sam Groth,2006,220,6'4,
Michael Berrer,1999,220,6'4,
Agustin Velotti,?,?,?,
Saketh Myneni,2012,187,6'4,
Alexander Kudryavtsev,?,174,6'0,
James McGee,?,176,6'0,
Joris De Loore,2011,190,6'3,
Matthew Barton,2009,187,6'3,
Marko Tepavac,?,198,6'4,
Andreas Haider-Maurer,2005,196,6'3,
Daniel Munoz de la Nava,1999,165,5'9,
Thiemo de Bakker,?,182,6'4,
Austin Krajicek,2012,175,6'2,
Marsel Ilhan,2006,176,6'3,
Alejandro Falla,2000,169,6'1,
Edouard Roger-Vasselin,2002,173,6'1,
Facundo Arguello,?,170,5'1,
Alejandro Gonzalez,2006,182,6'3,
Andre Ghem,2003,190,6'4,
Jarkko Nieminen,2000,172,6'1,
Farrukh Dustov,2003,194,6'4,
David Guez,?,165,6'1,
Adrian Ungur,2003,161,5'1,
Hans Podlipnik-Castillo,2005,172,6'0,
Guilherme Clezar,2009,169,5'1,
Somdev Devvarman,2008,160,5'1,
Matteo Donati,2013,163,6'1,
Franko Skugor,?,209,6'5,
Brydan Klein,2007,183,6'2,
Luke Saville,?,183,6'2,
Jordi Samper-Montana,?,?,?,
Filippo Volandri,1997,161,6'0,
Michal Przysiezny,2001,185,6'1,
Aslan Karatsev,?,?,?,
Tristan Lamasine,2010,152,6'0,
Alexander Sarkissian,2014,175,6'3,
Lleyton Hewitt,1998,170,5'1,
Andrey Golubev,2005,174,6'0,
Marinko Matosevic,2003,190,6'4,
Tommy Haas,1996,185,6'2,
Dmitry Tursunov,2000,180,6'1,
Pere Riba,2004,173,6'0,
Andreas Beck,2003,196,6'3,
Victor Hanescu,2000,194,6'6,
Jimmy Wang,2001,162,5'1,
Frank Dancevic,2003,175,6'1,
Mate Delic,?,189,6'5,
Michael Russell,1998,155,5'8,
Potito Starace,2001,185,6'2,
Ante Pavic,?,211,6'5,
Lukasz Kubot,2002,194,6'3,
Wayne Odesnik,2004,170,5'1,
Denys Molchanov,?,183,6'3,
Alex Kuznetsov,2004,172,6'0,
Julian Reister,2005,192,6'2,
Tim Puetz,?,171,6'1,
Matteo Viola,2004,176,6'1,
Chase Buchanan,?,175,6'4,
Jarmere Jenkins,?,170,6'0,
Jesse Huta Galung,2004,196,?,
Miloslav Mecir,?,193,6'5,
Jan Hernych,1998,182,6'2,
Nikolay Davydenko,1999,158,5'1,
Alex Bogomolov Jr.,2002,165,5'1,
Michael Llodra,1999,176,6'3,
Jan Hajek,2000,176,5'1,
Marc Gicquel,1999,165,6'2,
Rhyne Williams,2011,185,6'1,
Martin Alund,?,176,6'0,
Xavier Malisse,1998,183,6'1,
Guillaume Rufin,2008,181,6'2,
Jesse Levine,2007,150,5'9,
James Blake,1999,183,6'1,
Paul Capdeville,2002,172,6'3,
Rik De Voest,1999,150,5'1,
Bobby Reynolds,2003,170,6'0,
Flavio Cipolla,2003,163,5'8,
Amir Weintraub,2005,176,6'1,
Martin Fischer,2005,157,5'1,
Maxime Teixeira,2010,165,6'2,
Kristijan Mesaros,?,196,6'2,
Niels Desein,2007,187,6'3,
Mardy Fish,2000,180,6'2,
Andy Roddick,2000,195,6'2,
Brian Baker,2003,170,6'3,
Bjorn Phau,1999,154,5'9,
David Nalbandian,2000,175,5'1,
Olivier Rochus,1999,143,5'6,
Igor Andreev,2002,176,6'1,
Philipp Petzschner,2001,170,6'1,
Florent Serra,2000,171,5'1,
Josselin Ouanna,2004,200,6'4,
Thiago Alves,2000,165,5'1,
Antonio Veic,2006,163,5'1,
Fred Gil,2003,171,5'8,
Karol Beck,2001,163,5'1,
Ryan Sweeting,2007,184,6'5,
Danai Udomchoke,1997,141,5'8,
Simon Greul,2000,176,6'1,
Jonathan Dasnieres de Veigy,2008,168,5'9,
Ivan Sergeyev,?,172,5'9,
Maxime Authom,0,?,0'0,
Igor Kunitsyn,1999,165,5'1,
Boris Pashanski,2001,163,5'1,
Dominik Meffert,2005,203,6'6,
Juan Ignacio Chela,1998,165,6'3,
Sergio Gutierrez-Ferrol,?,?,?,
Javier Marti,?,?,?,
Jan Mertl,2002,185,6'3,
Jorge Aguilar,?,150,5'1,
Sergei Bubka,2005,194,6'2,
Ivo Minar,2002,187,6'0,
Yannick Mertens,2006,159,6'2,
Arnau Brugues-Davi,2009,181,6'0,
Gianluca Naso,?,198,6'4,
Robin Soderling,2001,192,6'4,
Ivan Ljubicic,1998,202,6'4,
Juan Carlos Ferrero,1998,160,6'0,
Rui Machado,2002,154,5'1,
Ricardo Mello,1999,161,5'9,
Eric Prodon,2000,168,5'1,
Izak Van der Merwe,2005,194,6'5,
Diego Junqueira,2001,159,5'1,
Rainer Schuettler,1995,163,5'1,
Thomas Schoorel,?,?,6'8,
Eduardo Schwank,2005,182,6'0,
Augustin Gensse,2001,?,5'1,
Arnaud Clement,1996,163,5'8,
Julio Silva,1999,152,5'8,
Simone Vagnozzi,1999,132,0'0,
Tsung-Hua Yang,2006,176,5'1,
Stefano Galvani,1999,160,5'9,
Michael Yani,2003,165,6'1,
Brian Dabul,2001,154,5'7,
Nikola Ciric,2000,207,6'7,
Bastian Knittel,2003,157,5'1,
Guillermo Olaso,2006,163,5'9,
Denis Gremelmayr,2000,160,6'0,
Ivan Navarro,2001,189,6'0,
Yuri Schukin,1999,194,6'1,
Harri Heliovaara,?,181,6'2,
Greg Jones,2007,185,6'4,
Laurynas Grigelis,?,171,6'0,
Pavol Cervenak,?,170,6'3,
Fernando Gonzalez,1999,180,6'0,
Marcos Daniel,1997,175,5'1,
Robert Kendrick,2000,190,6'3,
Taylor Dent,1998,195,6'2,
Conor Niland,?,180,6'1,
Stefan Koubek,1994,150,5'9,
Stephane Bohli,2002,181,6'1,
Peter Luczak,2000,170,6'0,
Jaroslav Pospisil,?,159,5'1,
Evgeny Korolev,2005,180,6'1,
Robby Ginepri,2001,174,6'0,
Ilija Bozoljac,2002,189,6'4,
Carsten Ball,2005,200,6'6,
Alessio Di Mauro,1998,156,6'1,
Carlos Salamanca,2001,183,6'5,
Juan Pablo Brzezicki,2001,158,5'1,
Victor Crivoi,2003,165,6'1,
Nicolas Massu,1997,177,6'0,
Robert Farah,2010,196,6'4,
Juan Sebastian Cabal,2005,181,6'1,
Ramon Delgado,1995,176,6'0,
Olivier Patience,1998,165,5'1,
Guillermo Alcaide,0,170,6'2,
