Player,Turned Pro,Weight,Height
Rafael Nadal,2001,187,6'1,
Novak Djokovic,2003,170,6'2,
Roger Federer,1998,187,6'1,
Dominic Thiem,2011,174,6'1,
Daniil Medvedev,2014,182,6'6,
Stefanos Tsitsipas,2016,196,6'4,
Alexander Zverev,2013,198,6'6,
Matteo Berrettini,2015,209,6'5,
Roberto Bautista Agut,2005,165,6'0,
Gael Monfils,2004,187,6'4,
David Goffin,2009,154,5'1,
Fabio Fognini,2004,174,5'1,
Kei Nishikori,2007,161,5'1,
Diego Schwartzman,2010,141,5'7,
Denis Shapovalov,2017,165,6'1,
Stan Wawrinka,2002,179,6'0,
Karen Khachanov,2013,192,6'6,
Alex de Minaur,2015,152,6'0,
John Isner,2007,238,6'1,
Grigor Dimitrov,2008,179,6'3,
Felix Auger-Aliassime,2017,194,6'4,
Lucas Pouille,2012,185,6'1,
Andrey Rublev,2014,154,6'2,
Benoit Paire,2007,176,6'5,
Guido Pella,2007,174,6'0,
Nikoloz Basilashvili,2008,174,6'1,
Pablo Carreno Busta,2009,172,6'2,
Borna Coric,2013,187,6'2,
Jo-Wilfried Tsonga,2004,205,6'2,
Nick Kyrgios,2013,187,6'4,
Milos Raonic,2008,216,6'5,
Taylor Fritz,2015,190,6'4,
Cristian Garin,2011,187,6'1,
Dusan Lajovic,2007,183,6'0,
Jan-Lennard Struff,2009,202,6'4,
Reilly Opelka,2015,225,6'1,
Hubert Hurkacz,2015,179,6'5,
Laslo Djere,2013,181,6'2,
Marin Cilic,2005,196,6'6,
Filip Krajinovic,2008,165,6'1,
Albert Ramos-Vinolas,2007,168,6'2,
Daniel Evans,2006,165,5'9,
Adrian Mannarino,2004,174,5'1,
Sam Querrey,2006,209,6'6,
Pablo Cuevas,2004,173,5'1,
Radu Albot,2008,152,5'9,
Frances Tiafoe,2015,190,6'2,
John Millman,2006,174,6'0,
Fernando Verdasco,2001,198,6'2,
Juan Ignacio Londero,2010,154,5'1,
Jeremy Chardy,2005,165,6'2,
Lorenzo Sonego,2013,168,6'3,
Cameron Norrie,2017,181,6'2,
Casper Ruud,2015,170,6'0,
Gilles Simon,2002,154,6'0,
Alexander Bublik,2016,170,6'6,
Ugo Humbert,2016,162,6'2,
Aljaz Bedene,2008,161,6'0,
Miomir Kecmanovic,2017,165,6'0,
Joao Sousa,2008,163,6'1,
Richard Gasquet,2002,174,6'0,
Feliciano Lopez,1997,194,6'2,
Jordan Thompson,2013,181,6'0,
Pablo Andujar,2003,176,5'1,
Pierre-Hugues Herbert,2010,165,6'2,
Ricardas Berankis,2007,170,5'9,
Mikhail Kukushkin,2006,159,6'0,
Tennys Sandgren,2011,195,6'2,
Kyle Edmund,2012,183,6'2,
Marton Fucsovics,2010,181,6'2,
Marco Cecchinato,2010,172,6'1,
Andreas Seppi,2002,172,6'3,
Yoshihito Nishioka,2014,141,5'7,
Mikael Ymer,2015,165,6'0,
Hugo Dellien,2009,165,5'1,
Federico Delbonis,2007,198,6'4,
Nicolas Jarry,2014,198,6'6,
Jannik Sinner,2018,167,6'2,
Philipp Kohlschreiber,2001,154,5'1,
Roberto Carballes Baena,2011,170,6'0,
Yasutaka Uchiyama,2011,172,6'0,
Gregoire Barrere,2012,176,6'0,
Corentin Moutet,2016,156,5'9,
Stefano Travaglia,2008,176,6'1,
Steve Johnson,2012,190,6'2,
Jaume Munar,2014,168,6'0,
Alejandro Davidovich Fokina,2019,176,6'0,
Soonwoo Kwon,2015,159,5'1,
Thiago Monteiro,2011,172,6'0,
Tommy Paul,2015,180,6'1,
Kevin Anderson,2007,208,6'8,
Leonardo Mayer,2003,176,6'3,
Damir Dzumhur,2011,150,5'9,
Dominik Koepfer,2016,175,5'1,
Ivo Karlovic,2000,230,6'1,
Salvatore Caruso,2010,176,6'1,
Alexei Popyrin,2017,172,6'5,
Egor Gerasimov,2010,190,6'5,
Lloyd Harris,2015,176,6'4,
James Duckworth,2010,181,6'0,
Kamil Majchrzak,2013,171,5'1,
Marcos Giron,2014,170,5'1,
Yuichi Sugita,2006,159,5'9,
Henri Laaksonen,2009,172,6'1,
Jiri Vesely,2009,207,6'6,
Brayden Schnur,2016,186,6'4,
Andrej Martin,2007,183,6'0,
Dennis Novak,2011,176,6'0,
Norbert Gombos,2009,187,6'4,
Taro Daniel,2010,176,6'3,
Marcel Granollers,2003,176,6'3,
Evgeny Donskoy,2007,165,6'1,
Denis Kudla,2010,175,5'1,
Thomas Fabbiano,2005,154,5'8,
Paolo Lorenzi,2003,172,6'0,
Antoine Hoang,2016,168,6'0,
